アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
Kis-My-Ft2,WANNA BEEEE!!!,100,https://open.spotify.com/track/4NATlnmkyDjE1Eabrup1WA,49,15
Perfume,Spending all my time,99,https://open.spotify.com/track/6tEUPYdS5m5LmZnmARmOCT,57,41
Superfly,輝く月のように,98,https://open.spotify.com/track/5JXd3XM2cT68cIeuofZQ0I,59,59
miwa,ヒカリヘ,97,https://open.spotify.com/track/0ZGSqq2w7og9UQyWYBXLSq,53,51
三代目 J Soul Brothers,花火,95,https://open.spotify.com/track/6xkRAXgNOwPXjpl8bD0WRe,55,49
ammoflight,夏色ドット,94,https://open.spotify.com/track/1AGM4mWvPk33d4NJuQZtJ0,3,3
井手綾香,つばさ,92,https://open.spotify.com/track/2Lx0re4XTA7APDzqthrcio,6,0
スキマスイッチ,ユリーカ,91,https://open.spotify.com/track/7K5JipRH1NKt04HE2nwZVJ,61,44
NMB48,ヴァージニティー,89,https://open.spotify.com/track/7tuHBStck3zEa0vpcNGtiB,39,24
ゆず,また明日,87,https://open.spotify.com/track/7izSoZpTTVwHKiyEsZPVxa,56,18
シェネル,ビリーヴ,86,https://open.spotify.com/track/3fE6DxExpJwYIwsQxQSVnM,56,61
加藤ミリヤ,HEART BEAT,84,https://open.spotify.com/track/1VBusc7LLyQtIp2HOqTv8s,55,37
Civilian Skunk,DRAGON BOY,81,https://open.spotify.com/track/5jOMZn29bJM44rDK0HevEb,1,2
Aqua Timez,つぼみ,80,https://open.spotify.com/track/0SVl2AznOkpmhPStRMNGFE,53,18
ナオト・インティライミ,ナイテタッテ,79,https://open.spotify.com/track/6xPp6bSKiena2MCQfaMOtZ,46,24
東京事変,ただならぬ関係,78,https://open.spotify.com/track/4QLv95dxFaISAxZetbNC1h,53,25
いきものがかり,風が吹いている,77,https://open.spotify.com/track/46ioD2OgRS8CVAA41aml2F,63,42
カミナリグモ,王様のミサイル,74,https://open.spotify.com/track/4bjMxyitJoWwPwoabe2Erc,15,3
RADWIMPS,シュプレヒコール,73,https://open.spotify.com/track/35Lx393kD6NjKsP4bQnNTq,75,40
ケツメイシ,夏の思い出,71,https://open.spotify.com/track/22uQDAWeupUDmr3Qit0abI,57,53
ONE OK ROCK,The Beginning,70,https://open.spotify.com/track/1J6MFj60gFCvYqOtjoYkM0,71,61
YUKI,わたしの願い事,68,https://open.spotify.com/track/67nPCNfx7FX3JNPgA4zh9K,44,17
西野カナ,GO FOR IT !!,64,https://open.spotify.com/track/7vXxYbfD6GBg9XFBjtWbcG,63,51
SAY,OMG!!,62,https://open.spotify.com/track/1WpFgBddxvC29QVnAomUD5,13,0
高橋優,陽はまた昇る,61,https://open.spotify.com/track/2xkMeEvHnRhj2URvART1yE,49,26
ケツメイシ,LOVE LOVE Summer,60,https://open.spotify.com/track/63SfqdBlmahv0zcLGL4feN,57,39
七尾旅人,サーカスナイト,59,https://open.spotify.com/track/1bhF1dbIKLXbVW2QupmvJl,33,42
井上陽水,少年時代,55,https://open.spotify.com/track/6W3kqpyUdOgjA2yFnuWTLU,49,13
EXILE,BOW & ARROWS,52,https://open.spotify.com/track/3ffi96jrjXy45ky3gdv6pc,60,30
スキマスイッチ,全力少年,45,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR,61,65
FUNKY MONKEY BABYS,LIFE IS A PARTY,41,https://open.spotify.com/track/6C3xqHA83wnashsHFtT0cs,53,19
GReeeeN,pride,40,https://open.spotify.com/track/1exqyfJ7dkW0cfq8s1SROe,62,46
back number,わたがし,39,https://open.spotify.com/track/37rQZTnbIE9JRJYzX2wCiw,77,61
ACE OF SPADES,WILD TRIBE,36,https://open.spotify.com/track/5IHL7N7SBAHva433X3BSUu,20,16
RHYMESTER,The Choice Is Yours,35,https://open.spotify.com/track/4niqa7E9MKusXkFMUaqoGq,40,27
水樹奈々,BRIGHT STREAM,29,https://open.spotify.com/track/5QfnHouzl7E6UaUhtDf99T,48,27
サザンオールスターズ,真夏の果実,24,https://open.spotify.com/track/3AVLsBieDGotYuo5RPEL64,65,64
山崎まさよし,アフロディーテ,23,https://open.spotify.com/track/2hbaWEIZxWTTfMdF72H9Jv,49,3
くるり,everybody feels the same,22,https://open.spotify.com/track/0eAookVKZ3xKzjFPBRd4j4,51,33
ソナーポケット,君と見る未来。,20,https://open.spotify.com/track/1kUiN0qmXDPU0SyCl4fBSj,41,24
ゆず,夏色,16,https://open.spotify.com/track/3nYe3TNoETmeXkseSdnUFz,56,58
星野源,夢の外へ,12,https://open.spotify.com/track/6wlUtMxqW0E4V0ZzPtRMkt,66,47
NEWS,チャンカパーナ,9,https://open.spotify.com/track/7Eh12O6cdN02uLHGDqQGMC,54,57
