アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
Hey!Say!JUMP,White Love,100,https://open.spotify.com/track/5yjG4G8CKeePjOc9pIaoqV,57,47,./downloaded_mp3/Hey!Say!JUMP_White Love.mp3
back number,瞬き,99,https://open.spotify.com/track/7hIfpcdUZcyCKHYy8gp49E,77,69,./downloaded_mp3/back number_瞬き.mp3
東方神起,Reboot,98,https://open.spotify.com/track/1puuaunrIyKl6fHAbpWBFA,53,22,./downloaded_mp3/東方神起_Reboot.mp3
Saint Aqours Snow,Awaken the power,97,https://open.spotify.com/track/5lNJrTnmGyHRByNYU53aHO,18,31,./downloaded_mp3/Saint Aqours Snow_Awaken the power.mp3
宇多田ヒカル,あなた,96,https://open.spotify.com/track/3yCVsL9xnnnhtOQ1CfPD7W,73,63,./downloaded_mp3/宇多田ヒカル_あなた.mp3
ラストアイドル,バンドワゴン,95,https://open.spotify.com/track/3ibGFICPaOrQGOcnIY1R5h,24,28,./downloaded_mp3/ラストアイドル_バンドワゴン.mp3
三代目 J Soul Brothers from EXILE TRIBE,J.S.B. HAPPINESS,93,https://open.spotify.com/track/6y7n6tAG7Mo4HsjS7eDIOk,55,27,./downloaded_mp3/三代目 J Soul Brothers from EXILE TRIBE_J.S.B. HAPPINESS.mp3
DAOKO × 米津玄師,打上花火,91,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,55,61,./downloaded_mp3/DAOKO × 米津玄師_打上花火.mp3
TWICE,Heart Shaker,88,https://open.spotify.com/track/6gxF4ibm6S95UUC6vyIiln,84,55,./downloaded_mp3/TWICE_Heart Shaker.mp3
back number,クリスマスソング,87,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,77,71,./downloaded_mp3/back number_クリスマスソング.mp3
TWICE,TT,85,https://open.spotify.com/track/0x3fUdLjlYlO35v979kI3q,84,36,./downloaded_mp3/TWICE_TT.mp3
BTS (防弾少年団),DNA,84,https://open.spotify.com/track/2ngmiq1KoYn3x25VOmvd8F,86,72,./downloaded_mp3/BTS (防弾少年団)_DNA.mp3
欅坂46,風に吹かれても,82,https://open.spotify.com/track/2WTurc6P0qxHFfQliKKIpz,49,43,./downloaded_mp3/欅坂46_風に吹かれても.mp3
DEAN FUJIOKA,Let it snow!,81,https://open.spotify.com/track/1SjleKZaAnFt11qbpc14Ow,39,18,./downloaded_mp3/DEAN FUJIOKA_Let it snow!.mp3
TWICE,LIKEY,80,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI,84,54,./downloaded_mp3/TWICE_LIKEY.mp3
BoA,メリクリ,78,https://open.spotify.com/track/3fxaN9pj6g4crVCzMTqRd0,55,58,./downloaded_mp3/BoA_メリクリ.mp3
BTS (防弾少年団),MIC Drop,77,https://open.spotify.com/track/4gZGAVECoiutzp64KSHNjE,86,65,./downloaded_mp3/BTS (防弾少年団)_MIC Drop.mp3
GENERATIONS from EXILE TRIBE,BIG CITY RODEO,76,https://open.spotify.com/track/5GCjKGOgLFUqReR5Bbe9Lk,52,26,./downloaded_mp3/GENERATIONS from EXILE TRIBE_BIG CITY RODEO.mp3
Uru,奇蹟,69,https://open.spotify.com/track/6gjblFEncsCma9E7IeViW7,62,49,./downloaded_mp3/Uru_奇蹟.mp3
星野源,Family Song,66,https://open.spotify.com/track/6XzDz5r1bGMkcOKeXQwTqM,66,64,./downloaded_mp3/星野源_Family Song.mp3
TWICE,One More Time,64,https://open.spotify.com/track/5st9DnsI9K0JpOOg6TucPd,84,46,./downloaded_mp3/TWICE_One More Time.mp3
三浦大知,EXCITE,62,https://open.spotify.com/track/4zViPPzngXnYTsiwXkOSqX,50,47,./downloaded_mp3/三浦大知_EXCITE.mp3
クリス・ハート,I LOVE YOU,61,https://open.spotify.com/track/0mf82mK5aeZm4vN9HM2InQ,45,54,./downloaded_mp3/クリス・ハート_I LOVE YOU.mp3
星野源,恋,60,https://open.spotify.com/track/5Hu29JT4xtbRUBTZeOAjxW,66,61,./downloaded_mp3/星野源_恋.mp3
平井堅,ノンフィクション,59,https://open.spotify.com/track/3FNaUMbtGok3gicPNfScDi,56,53,./downloaded_mp3/平井堅_ノンフィクション.mp3
桑田佳祐,白い恋人達,58,https://open.spotify.com/track/5hFHG3UfvrOfhcV8anlU8g,57,60,./downloaded_mp3/桑田佳祐_白い恋人達.mp3
Little Glee Monster,Jupiter,57,https://open.spotify.com/track/7sSMVhg2tOBCIjmqWwazNt,54,45,./downloaded_mp3/Little Glee Monster_Jupiter.mp3
BTS (防弾少年団),Crystal Snow,56,https://open.spotify.com/track/6NbfFVZ01Ttvvqmcok8DxL,86,61,./downloaded_mp3/BTS (防弾少年団)_Crystal Snow.mp3
WANIMA,ヒューマン,55,https://open.spotify.com/track/5xi5xPMoPhUzz1BDLcJMUY,60,43,./downloaded_mp3/WANIMA_ヒューマン.mp3
乃木坂46,いつかできるから今日できる,54,https://open.spotify.com/track/0kUjyLfXDaKZedEAruiqAw,61,44,./downloaded_mp3/乃木坂46_いつかできるから今日できる.mp3
SHISHAMO,明日も,53,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M,58,65,./downloaded_mp3/SHISHAMO_明日も.mp3
E-girls,北風と太陽,47,https://open.spotify.com/track/3Ygp8bwOhTmjRvUphZemvE,47,37,./downloaded_mp3/E-girls_北風と太陽.mp3
A応P,君氏危うくも近うよれ,43,https://open.spotify.com/track/2efExetXDEdf9r6trDzXX1,32,34,./downloaded_mp3/A応P_君氏危うくも近うよれ.mp3
WANIMA,ともに,42,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3,60,66,./downloaded_mp3/WANIMA_ともに.mp3
B'z,いつかのメリークリスマス,39,https://open.spotify.com/track/3Ro8jrbsWu0VSk1odLLYuo,66,53,./downloaded_mp3/B'z_いつかのメリークリスマス.mp3
椎名林檎,人生は夢だらけ,38,https://open.spotify.com/track/0z2xgbxkLvrpzBZDtYIIXS,66,61,./downloaded_mp3/椎名林檎_人生は夢だらけ.mp3
TWICE,Candy Pop,37,https://open.spotify.com/track/39GvWlUAF4Y3qzboUyvBkg,84,51,./downloaded_mp3/TWICE_Candy Pop.mp3
Superfly,愛をこめて花束を,36,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,59,71,./downloaded_mp3/Superfly_愛をこめて花束を.mp3
松たか子,明日はどこから,34,https://open.spotify.com/track/7wDDd0P8bqKhQzcsTwymN7,49,28,./downloaded_mp3/松たか子_明日はどこから.mp3
UNISON SQUARE GARDEN,fake town baby,33,https://open.spotify.com/track/0KNM6LffxIx0CTmGqLcZFN,55,42,./downloaded_mp3/UNISON SQUARE GARDEN_fake town baby.mp3
欅坂46,サイレントマジョリティー,31,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5,49,53,./downloaded_mp3/欅坂46_サイレントマジョリティー.mp3
スキマスイッチ,奏(かなで),30,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,61,73,./downloaded_mp3/スキマスイッチ_奏(かなで).mp3
[Alexandros],明日、また,29,https://open.spotify.com/track/6s1B9lJR4oG5G49k04WObn,58,40,./downloaded_mp3/[Alexandros]_明日、また.mp3
竹内まりや,すてきなホリデイ,28,https://open.spotify.com/track/42KsMmJ8sbWrfy6WMNWySo,59,49,./downloaded_mp3/竹内まりや_すてきなホリデイ.mp3
AAA,LIFE,25,https://open.spotify.com/track/11Vu6aXNq2FZSqpv8XaLUO,55,41,./downloaded_mp3/AAA_LIFE.mp3
SKE48,無意識の色,24,https://open.spotify.com/track/7Jm7yxmeUBl8brqu19qhHE,33,18,./downloaded_mp3/SKE48_無意識の色.mp3
aiko,予告,22,https://open.spotify.com/track/4YYrD0USBOwoH3dK5Mu89P,62,30,./downloaded_mp3/aiko_予告.mp3
ONE OK ROCK,Wherever you are,21,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,71,66,./downloaded_mp3/ONE OK ROCK_Wherever you are.mp3
欅坂46,不協和音,20,https://open.spotify.com/track/1CAIveeC0CUY0KbENoNU3X,49,47,./downloaded_mp3/欅坂46_不協和音.mp3
どうぶつビスケッツ×PPP,ようこそジャパリパークへ,19,https://open.spotify.com/track/6avH20eR9SGNwV1H0vzHed,8,17,./downloaded_mp3/どうぶつビスケッツ×PPP_ようこそジャパリパークへ.mp3
TWICE,SIGNAL,17,https://open.spotify.com/track/3BbfgC1wM6x5TRYgAVZYi0,84,52,./downloaded_mp3/TWICE_SIGNAL.mp3
Little Glee Monster,いつかこの涙が,13,https://open.spotify.com/track/0KNOXsTgTF0JaC7ZBZWPRK,54,49,./downloaded_mp3/Little Glee Monster_いつかこの涙が.mp3
DAOKO × 岡村靖幸,ステップアップLOVE,10,https://open.spotify.com/track/2qdkg8NGkGhukt8UQcVYci,55,41,./downloaded_mp3/DAOKO × 岡村靖幸_ステップアップLOVE.mp3
稲垣潤一,クリスマスキャロルの頃には,9,https://open.spotify.com/track/41d7uC7xV3u82wMN0TOoGy,46,49,./downloaded_mp3/稲垣潤一_クリスマスキャロルの頃には.mp3
米津玄師,春雷,7,https://open.spotify.com/track/6megNXGjmim4OitjZnIn9v,80,66,./downloaded_mp3/米津玄師_春雷.mp3
米津玄師,アイネクライネ,6,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,80,69,./downloaded_mp3/米津玄師_アイネクライネ.mp3
宇多田ヒカル,花束を君に,5,https://open.spotify.com/track/31yv1hR9gw1WSEmtqsaZbD,73,65,./downloaded_mp3/宇多田ヒカル_花束を君に.mp3
Kis-My-Ft2,赤い果実,4,https://open.spotify.com/track/557vHyysYUnkYCtaQuMLIl,49,20,./downloaded_mp3/Kis-My-Ft2_赤い果実.mp3
福山雅治,トモエ学園,3,https://open.spotify.com/track/6xhP8ZvvnV7sPlijZnbaGe,55,15,./downloaded_mp3/福山雅治_トモエ学園.mp3
JUNNA,Here,1,https://open.spotify.com/track/1calxl7TPBgr0E11lI9uD8,38,49,./downloaded_mp3/JUNNA_Here.mp3
