アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
AKB48,GIVE ME FIVE!,100,https://open.spotify.com/track/2N5AQUkYb09nxNpUkNSC5x,56,40,./downloaded_mp3/AKB48_GIVE ME FIVE!.mp3
家入レオ,サブリナ,99,https://open.spotify.com/track/6kokaq4Inu2mRIzeUFffIr,52,31,./downloaded_mp3/家入レオ_サブリナ.mp3
V6,バリバリBUDDY!,98,https://open.spotify.com/track/5BQC0GhQhRWGI9HYdEYjBy,56,26,./downloaded_mp3/V6_バリバリBUDDY!.mp3
FUNKY MONKEY BABYS,この世界に生まれたわけ,97,https://open.spotify.com/track/3nKYr5dzYye6Imv7ZIbm0u,53,34,./downloaded_mp3/FUNKY MONKEY BABYS_この世界に生まれたわけ.mp3
ナオト・インティライミ,君に逢いたかった,94,https://open.spotify.com/track/5RpNo70DUT8BFhmn1untQs,46,33,./downloaded_mp3/ナオト・インティライミ_君に逢いたかった.mp3
THE BAWDIES,ROCK ME BABY,90,https://open.spotify.com/track/4tEkbMXIaUUOqq45lInqkZ,34,29,./downloaded_mp3/THE BAWDIES_ROCK ME BABY.mp3
安田奈央,真夜中のひだまり,89,https://open.spotify.com/track/7snHGYQFrFWQBxJIJTfB0s,29,3,./downloaded_mp3/安田奈央_真夜中のひだまり.mp3
NMB48,純情U-19,88,https://open.spotify.com/track/4hKQRuNO9Wne8ZSTH0pgQO,39,18,./downloaded_mp3/NMB48_純情U-19.mp3
星野源,フィルム,87,https://open.spotify.com/track/7zixzfko6GIUYjD9NtRUOR,66,45,./downloaded_mp3/星野源_フィルム.mp3
絢香,はじまりのとき,85,https://open.spotify.com/track/3XI5r4smeQGQDUVG5Bs6sV,55,38,./downloaded_mp3/絢香_はじまりのとき.mp3
ポルノグラフィティ,2012Spark,84,https://open.spotify.com/track/4oWWF5b0gQal6lYiui9ysk,62,25,./downloaded_mp3/ポルノグラフィティ_2012Spark.mp3
ダイスケ,あなたにしかできないこと,83,https://open.spotify.com/track/0rnfb631QLrDrGaUQAhVQd,35,8,./downloaded_mp3/ダイスケ_あなたにしかできないこと.mp3
AI,ハピネス,82,https://open.spotify.com/track/4Ls20opS0EzPb7NuA6F8VI,56,60,./downloaded_mp3/AI_ハピネス.mp3
SKE48,片想いFinally,80,https://open.spotify.com/track/6oMiXNscelzq5QHgLjpUQi,33,28,./downloaded_mp3/SKE48_片想いFinally.mp3
androp,World.Words.Lights.,79,https://open.spotify.com/track/4G4tQ0qjQI9a3Jj5IWjvrt,38,5,./downloaded_mp3/androp_World.Words.Lights..mp3
秦基博,エンドロール,78,https://open.spotify.com/track/3uir4rd3SzIeXhcWJqlZ2a,57,27,./downloaded_mp3/秦基博_エンドロール.mp3
いきものがかり,KISS KISS BANG BANG,75,https://open.spotify.com/track/6X0jP7E6j8V85FEmKibIkn,63,19,./downloaded_mp3/いきものがかり_KISS KISS BANG BANG.mp3
