アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
ケツメイシ,LOVE LOVE Summer,100,https://open.spotify.com/track/63SfqdBlmahv0zcLGL4feN,57,39,./downloaded_mp3/ケツメイシ_LOVE LOVE Summer.mp3
東方神起,ANDROID,99,https://open.spotify.com/track/29nAGTJylT2958MUcuKSQG,53,23,./downloaded_mp3/東方神起_ANDROID.mp3
flumpool,Because... I am,97,https://open.spotify.com/track/2pjJ7BKPpb0w4mKg46aW37,47,14,./downloaded_mp3/flumpool_Because... I am.mp3
シェネル,ビリーヴ,96,https://open.spotify.com/track/3fE6DxExpJwYIwsQxQSVnM,56,61,./downloaded_mp3/シェネル_ビリーヴ.mp3
桑田佳祐,愛しい人へ捧ぐ歌,95,https://open.spotify.com/track/4CbyCNy3eiNynTXvaTUgrx,57,40,./downloaded_mp3/桑田佳祐_愛しい人へ捧ぐ歌.mp3
SCANDAL,太陽スキャンダラス,94,https://open.spotify.com/track/6wXYyVKywYY2ZtQpdQlaXX,48,28,./downloaded_mp3/SCANDAL_太陽スキャンダラス.mp3
少女時代,PAPARAZZI,92,https://open.spotify.com/track/6RqqXrEezkVeLoEJyvv5cZ,64,36,./downloaded_mp3/少女時代_PAPARAZZI.mp3
キマグレン,LIFE,91,https://open.spotify.com/track/0OteDMairtABHrHUHjuAK1,39,56,./downloaded_mp3/キマグレン_LIFE.mp3
back number,わたがし,90,https://open.spotify.com/track/37rQZTnbIE9JRJYzX2wCiw,77,61,./downloaded_mp3/back number_わたがし.mp3
星野源,夢の外へ,89,https://open.spotify.com/track/6wlUtMxqW0E4V0ZzPtRMkt,66,47,./downloaded_mp3/星野源_夢の外へ.mp3
アンジェラ・アキ,告白,84,https://open.spotify.com/track/017dqEgUtXe2fXNl0uKDPd,43,30,./downloaded_mp3/アンジェラ・アキ_告白.mp3
ジャンクフジヤマ,あの空の向こうがわへ,81,https://open.spotify.com/track/1LMuJryebLMtKK0bPYKdED,29,30,./downloaded_mp3/ジャンクフジヤマ_あの空の向こうがわへ.mp3
Rihwa,CHANGE,77,https://open.spotify.com/track/4hjBWTahASMhcYGLSHI4sd,33,5,./downloaded_mp3/Rihwa_CHANGE.mp3
Base Ball Bear,初恋,74,https://open.spotify.com/track/2Y3l4j8200okJ7pgKSvH9Y,38,19,./downloaded_mp3/Base Ball Bear_初恋.mp3
