Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5466666666666666,0.5330555555555555,0.5280555555555555,0.5422222222222222
Kurtosis,0.5200490998363339,0.5085924713584288,0.4604473540643753,0.6082924168030551
Length,0.4908008658008658,0.4867424242424242,0.516504329004329,0.6209415584415584
Max,0.5941291312229815,0.5560591270394646,0.5688188537163575,0.5811602286989263
Mean,0.5545801007213829,0.5238873009391588,0.5175581870151083,0.5175581870151083
Skewness,0.5006783340116674,0.5024420024420024,0.4852123185456519,0.5683760683760684
Std,0.6044407894736843,0.5361842105263158,0.5890899122807017,0.5885416666666667
Sum,0.46645021645021645,0.47673160173160173,0.5159632034632035,0.6214826839826839
Average,0.5347244005229748,0.515461836729369,0.5227062142056603,0.5810718790257862



training,2018,2020,2009,2021
val,2024
test,2023



Data Shapes
traing_data(%),72.17524980784013
Train,939
Val,190
Test,172
