Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5406926406926407,0.5010822510822511,0.5361471861471861,0.5563852813852814
Kurtosis,0.46186247723132967,0.5003415300546448,0.45582877959927137,0.5643214936247722
Length,0.5926610644257703,0.46588235294117647,0.5312605042016807,0.6013445378151261
Max,0.5527379053694843,0.6190324295587453,0.6001063264221159,0.5969696969696969
Mean,0.48660254208175885,0.5645826176571624,0.5107065155158594,0.53481048894996
Skewness,0.5145744680851064,0.5302127659574468,0.5107446808510638,0.5612765957446808
Std,0.4870648355158096,0.47673799638028314,0.5139465559459172,0.5225699989353774
Sum,0.5217932752179327,0.48811275897203665,0.555190761915544,0.5457375750028303
Average,0.519748651077479,0.5182480878254684,0.5267414138248298,0.5604269585534657



training,2009,2011,2023,2017
val,2021
test,2019



Data Shapes
traing_data(%),75.3077975376197
Train,1101
Val,167
Test,194
