Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5024775679657159,0.5026449712066425,0.5091402169546002,0.4944422124012321
Kurtosis,0.46270699786324787,0.5309495192307692,0.4677150106837607,0.6184895833333333
Length,0.49347826086956526,0.5051839464882943,0.5148829431438127,0.6088628762541806
Max,0.5753968253968254,0.5835667600373483,0.5859010270774977,0.5828664799253034
Mean,0.5245,0.45733333333333337,0.5794999999999999,0.5303333333333333
Skewness,0.4572829131652661,0.4892623716153128,0.5156395891690009,0.4388422035480859
Std,0.5051020408163265,0.5442176870748299,0.5986394557823129,0.5884353741496599
Sum,0.5062943618588456,0.5501540109816525,0.5463372170885228,0.606434980581224
Average,0.5034048709919741,0.5204140749960229,0.5397194324874385,0.5585883804407941



training,2008,2021,2016,2014
val,2012
test,2017



Data Shapes
traing_data(%),65.34422403733956
Train,1120
Val,349
Test,245
