Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.45605742296918766,0.5076155462184874,0.5755427170868348,0.5229341736694677
Kurtosis,0.5283866331297161,0.5427596119295724,0.5318900467121811,0.5932446999640676
Length,0.49822515212981744,0.48013860716700474,0.546737660581474,0.6243238674780257
Max,0.581962481962482,0.6162337662337662,0.5976190476190476,0.6618326118326119
Mean,0.5568871359223301,0.5735740291262136,0.5480127427184466,0.5509708737864077
Skewness,0.4547803617571059,0.5,0.5194516221648005,0.5412718920470858
Std,0.5559745637385389,0.589544513457557,0.5992309967465247,0.5954599230996747
Sum,0.5266513056835638,0.5221966205837174,0.4936251920122888,0.6023041474654378
Average,0.5198656321615928,0.5415078368395398,0.5515137532051997,0.5865427736678475



training,2013,2015,2020,2008
val,2023
test,2021



Data Shapes
traing_data(%),78.11491284699807
Train,1210
Val,172
Test,167
