アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
福山雅治,生きてる生きてく,100,https://open.spotify.com/track/6TT5cVq9gtm9Fxm1jm3RSj,55,47
UVERworld,7th Trigger,99,https://open.spotify.com/track/3ALiXA2sdQBuHotnGkEAoV,60,44
ナオト・インティライミ,愛してた,97,https://open.spotify.com/track/55uQmkY0hovL7viBUJMxXl,46,40
Kis-My-Ft2,SHE! HER! HER!,94,https://open.spotify.com/track/1T1U7hqIHhpcMRPR7N8gZX,49,43
Perfume,Spring of Life,92,https://open.spotify.com/track/0zWuIu9wDk1lpSbK8yFZmv,57,43
AKB48,GIVE ME FIVE!,90,https://open.spotify.com/track/2N5AQUkYb09nxNpUkNSC5x,56,40
きゃりーぱみゅぱみゅ,CANDY CANDY,88,https://open.spotify.com/track/4r53usGeVPzb1fKUUSxN1w,51,47
井手綾香,ヒカリ,87,https://open.spotify.com/track/58HwwfDa9rxN0rTjcNcqyr,5,7
2NE1,SCREAM,83,https://open.spotify.com/track/0eAtw7ZVAUJ6gsP0tmAnMg,58,25
アフィリア・サーガ・イースト,未来が私を待っている,77,https://open.spotify.com/track/4b92nbCth4XgI9Tymyfgmw,3,0
Heavenstamp,Decadence,76,https://open.spotify.com/track/7k5fdm8MIFrTouqmQnYOaG,12,4
IU,Good Day,74,https://open.spotify.com/track/1SwZVVH9BnXtLRLi2cbFhw,67,60
菅原紗由理,はばたくキミへ,73,https://open.spotify.com/track/7ni0kaRg0LkPp66D1hbYJW,36,7
GReeeeN,ミセナイナミダハ、きっといつか,69,https://open.spotify.com/track/7dXtfhiKAKDVMPzcljRYsm,61,40
Fairies,Beat Generation,67,https://open.spotify.com/track/0MNJJOGJMjaOcAGWard20O,22,20
ecosystem,月夜のnet,66,https://open.spotify.com/track/0Y4W86nqLH88JQZI2Sx9VC,27,14
ケツメイシ,さくら,65,https://open.spotify.com/track/5rfUCmoI7axj6mjpu1Rto5,56,58
DREAMS COME TRUE,MY TIME TO SHINE,63,https://open.spotify.com/track/3Wp8PGuUcR12JN21bO88KP,60,16
大国男児,Jumping,61,https://open.spotify.com/track/6UxoUmO2fiWCDqawWvUXxk,8,3
家入レオ,サブリナ,57,https://open.spotify.com/track/67ZjPP9Jol63IuJduIx0uv,51,45
指田郁也,パラレル=,56,https://open.spotify.com/track/0byHWHLNS77GIZmNDvsDlA,12,12
aiko,桜の時,55,https://open.spotify.com/track/2CukFFswRZixS0AMkdMHSk,62,48
若山かずさ,夫婦恋唄,54,https://open.spotify.com/track/61c0t2PIA8EYXRNwNJGDA7,6,0
BIGBANG,FANTASTIC BABY,52,https://open.spotify.com/track/3PzAfPk6iA4ygy4u3OAqk5,70,49
ASIAN KUNG-FU GENERATION,踵で愛を打ち鳴らせ,51,https://open.spotify.com/track/2N3mCpPteeF3Y80skvVmV8,61,28
シェネル,ストーリー,50,https://open.spotify.com/track/6Acq3WrZL6Yh5cnt0rWW1E,55,49
堂島孝平,あのコ猫かいな,47,https://open.spotify.com/track/3RvcCyoSyIMyHMDbxPjSi1,32,9
THE ALFEE,生きよう,43,https://open.spotify.com/track/4Tal3GfdlN5HgUgqYLmvZ3,47,8
ポルノグラフィティ,2012Spark,41,https://open.spotify.com/track/4oWWF5b0gQal6lYiui9ysk,62,24
YUI,CHE.R.RY,39,https://open.spotify.com/track/6PBBGlTEVfUyfnmemrnhbp,57,61
Superfly,さすらいの旅人,38,https://open.spotify.com/track/2WFvqn2My28nahIa5JYX6r,59,15
坂本冬美,こころが,37,https://open.spotify.com/track/02svI5zPJmW5lzcpL9kTjL,43,11
ももいろクローバーZ,猛烈宇宙交響曲・第七楽章「無限の愛」,36,https://open.spotify.com/track/2FJ0xupN6exwhS44c6Og2i,47,22
東方神起,STILL,35,https://open.spotify.com/track/4eUnCmarkgcwpTpywsNX6J,52,21
moumoon,『Love is Everywhere』,29,https://open.spotify.com/track/2AgxR7O0sQKIZGV7U5tBVW,36,9
AI,ハピネス,28,https://open.spotify.com/track/63b1Kq6OLrYCNCLNXL2tLn,56,44
MAN WITH A MISSION,distance,27,https://open.spotify.com/track/0LghaDkNWnbHgYWEHgJ7SY,60,39
松任谷由実,恋をリリース,24,https://open.spotify.com/track/5VICZXLg11zsYy4rTmWMxs,58,7
2NE1,LIKE A VIRGIN,22,https://open.spotify.com/track/36rsxJAqcs4USlhBiRQhVn,58,26
浜崎あゆみ,how beautiful you are,21,https://open.spotify.com/track/1PiYNrk3qBhxjQgp0zrfGG,61,32
ゴールデンボンバー,女々しくて,20,https://open.spotify.com/track/1z9sbRTej9JymuzC65xFlS,45,52
B.B.かまってちゃん(B.B.クィーンズ + 神聖かまってちゃん),夢のENDはいつも目覚まし!,17,https://open.spotify.com/track/5xtog12CYKqANej2qR16Zo,8,24
ねごと,sharp ♯,16,https://open.spotify.com/track/5GvQzJ462BgEdnZvUdhclb,31,34
the audio pool,Watershed,15,https://open.spotify.com/track/29acnklvloBQqhTyuNjWwY,0,1
坂本冬美,人時,14,https://open.spotify.com/track/6B0lEfbkU5CgtaMihVwpEv,43,3
大橋トリオ,ラブリー,13,https://open.spotify.com/track/7dPathlS1vAbKahfvoOxSl,43,24
BENI,Ti Amo,11,https://open.spotify.com/track/2ppOVJxUb7etmk3J0sYKg8,45,25
yoshiki*lisa,君が待つ世界の果て,8,https://open.spotify.com/track/1bmWAAsbCPsMiVcmAGzIhb,11,0
Tommy february6,HOT CHOCOLAT,6,https://open.spotify.com/track/5dMpDNd2qEbYRX9RDNIXvC,49,33
いきものがかり,SAKURA,4,https://open.spotify.com/track/66lz2zmD3xv05y4OWjxIhJ,63,41
capsule,Feelin' Alright,3,https://open.spotify.com/track/5DGUNDualFj34R4j2mTWU5,44,16
福山雅治,桜坂,2,https://open.spotify.com/track/7gpVG8fQjh5YLViIWy3HHh,55,56
サーターアンダギー,タカラモノ,1,https://open.spotify.com/track/5vELCW7bTnySgWTqSE2Anw,15,0
