Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
ONE OK ROCK,The Beginning,https://open.spotify.com/track/1J6MFj60gFCvYqOtjoYkM0,./downloaded_mp3/ONE OK ROCK_The Beginning.mp3,2012,31,99,29.67,24.73,48,1424,1.5,1.29,71,61
BIGBANG,FANTASTIC BABY,https://open.spotify.com/track/3PzAfPk6iA4ygy4u3OAqk5,./downloaded_mp3/BIGBANG_FANTASTIC BABY.mp3,2012,3,93,26.9,23.89,80,2152,1.18,0.42,70,50
NEWS,チャンカパーナ,https://open.spotify.com/track/7Eh12O6cdN02uLHGDqQGMC,./downloaded_mp3/NEWS_チャンカパーナ.mp3,2012,23,100,40.46,28.72,37,1497,0.3,-1.32,54,57
三代目 J Soul Brothers from EXILE TRIBE,花火,https://open.spotify.com/track/6xkRAXgNOwPXjpl8bD0WRe,./downloaded_mp3/三代目 J Soul Brothers from EXILE TRIBE_花火.mp3,2012,35,99,45.47,33.57,19,864,0.14,-1.51,55,49
E-girls,Follow Me,https://open.spotify.com/track/06yfLJC5pMcFw8hoNovLaT,./downloaded_mp3/E-girls_Follow Me.mp3,2012,30,99,51.0,23.93,15,765,0.65,-0.89,47,52
ASIAN KUNG-FU GENERATION,リライト,https://open.spotify.com/track/3txqYlzoDZGLoW8MGll9tQ,./downloaded_mp3/ASIAN KUNG-FU GENERATION_リライト.mp3,2012,29,52,25.0,20.22,4,100,0.37,-2.03,61,63
宇多田ヒカル,桜流し,https://open.spotify.com/track/2TQsZUVhevVTtNUil5JoJv,./downloaded_mp3/宇多田ヒカル_桜流し.mp3,2012,86,99,79.7,21.96,10,797,-1.21,0.29,73,52
河口恭吾,桜,https://open.spotify.com/track/5wojrwM7gy8DJnDSvLQGq4,./downloaded_mp3/河口恭吾_桜.mp3,2012,37,37,26.33,10.5,3,79,0.03,-2.33,31,45
竹内まりや,いのちの歌,https://open.spotify.com/track/0dhG4A3Fs65pX39ZM2NINa,./downloaded_mp3/竹内まりや_いのちの歌.mp3,2012,59,98,65.12,26.63,8,521,-0.38,-1.39,59,53
スキマスイッチ,全力少年,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR,./downloaded_mp3/スキマスイッチ_全力少年.mp3,2012,33,70,33.56,21.09,9,302,0.28,-1.25,61,65
Def Tech,My Way,https://open.spotify.com/track/2ttzli3A7SOXUvMv69xEKs,./downloaded_mp3/Def Tech_My Way.mp3,2012,23,41,23.0,18.0,3,69,0.0,-2.33,48,58
back number,わたがし,https://open.spotify.com/track/37rQZTnbIE9JRJYzX2wCiw,./downloaded_mp3/back number_わたがし.mp3,2012,6,98,43.29,31.96,14,606,0.43,-1.45,77,61
back number,恋,https://open.spotify.com/track/7wmYvSAV5gSkmtXrjuNmiW,./downloaded_mp3/back number_恋.mp3,2012,14,89,33.0,31.97,8,264,0.58,-1.43,77,57
Not yet,西瓜BABY,https://open.spotify.com/track/2eWr7EIbcNKuCp1z9UUzv6,./downloaded_mp3/Not yet_西瓜BABY.mp3,2012,99,99,63.6,34.59,5,318,-0.24,-2.0,16,16
サカナクション,僕と花,https://open.spotify.com/track/1w6iBuEc0eVjpnCnL2vm41,./downloaded_mp3/サカナクション_僕と花.mp3,2012,98,98,66.62,27.37,13,866,-0.7,-0.87,66,48
SEKAI NO OWARI,眠り姫,https://open.spotify.com/track/0GTz1mytQUBlGaSF7s4Rdz,./downloaded_mp3/SEKAI NO OWARI_眠り姫.mp3,2012,96,96,62.9,29.17,10,629,0.04,-1.93,66,63
