Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
Vaundy,怪獣の花唄,https://open.spotify.com/track/7dTW21YAJxnAOiUh7Rtu9S,./downloaded_mp3/Vaundy_怪獣の花唄.mp3,2021,86,99,65.84,29.16,224,14748,-0.65,-0.94,73,74
back number,水平線,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,./downloaded_mp3/back number_水平線.mp3,2021,61,99,67.71,22.14,222,15031,-1.31,1.54,77,63
優里,ベテルギウス,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,./downloaded_mp3/優里_ベテルギウス.mp3,2021,27,99,59.33,25.82,173,10264,-0.12,-0.95,68,69
Saucy Dog,シンデレラボーイ,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,./downloaded_mp3/Saucy Dog_シンデレラボーイ.mp3,2021,23,97,60.85,29.05,171,10405,-0.56,-1.11,66,68
マカロニえんぴつ,なんでもないよ、,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl,./downloaded_mp3/マカロニえんぴつ_なんでもないよ、.mp3,2021,25,97,60.29,25.43,127,7657,-0.25,-1.31,68,70
YOASOBI,怪物,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,./downloaded_mp3/YOASOBI_怪物.mp3,2021,21,99,54.22,30.64,175,9489,0.02,-1.52,74,67
Aimer(エメ),残響散歌,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO,./downloaded_mp3/Aimer(エメ)_残響散歌.mp3,2021,10,100,61.94,30.89,111,6875,-0.61,-0.82,66,70
King Gnu,逆夢,https://open.spotify.com/track/6ZiEWet0uFRwWBCEKCQ8rY,./downloaded_mp3/King Gnu_逆夢.mp3,2021,2,99,47.2,30.33,82,3870,0.27,-1.14,70,67
Creepy Nuts,のびしろ,https://open.spotify.com/track/4inayqSdDjRuQMIXFn1M29,./downloaded_mp3/Creepy Nuts_のびしろ.mp3,2021,25,43,20.47,11.9,38,778,-0.15,-1.25,70,56
ヨルシカ,春泥棒,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf,./downloaded_mp3/ヨルシカ_春泥棒.mp3,2021,14,78,41.16,21.53,44,1811,-0.03,-1.38,72,68
