Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
Official髭男dism,Pretender,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55,./downloaded_mp3/Official髭男dism_Pretender.mp3,2019,98,100,60.46,25.76,319,19287,0.1,-1.25,71,58
King Gnu,白日,https://open.spotify.com/track/5iF0Yf9gju6ERpAch08JsC,./downloaded_mp3/King Gnu_白日.mp3,2019,96,99,55.69,33.11,236,13142,-0.11,-1.56,70,59
Official髭男dism,宿命,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3,./downloaded_mp3/Official髭男dism_宿命.mp3,2019,94,98,68.94,31.31,96,6618,-0.94,-0.58,71,60
Official髭男dism,イエスタデイ,https://open.spotify.com/track/53WuztMfY1VH3rLIm0zApQ,./downloaded_mp3/Official髭男dism_イエスタデイ.mp3,2019,91,99,61.49,34.41,91,5596,-0.65,-1.13,71,58
菅田将暉,まちがいさがし,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo,./downloaded_mp3/菅田将暉_まちがいさがし.mp3,2019,87,99,70.22,25.33,106,7443,-0.94,-0.17,60,65
あいみょん,ハルノヒ,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0,./downloaded_mp3/あいみょん_ハルノヒ.mp3,2019,85,99,52.24,26.82,117,6112,-0.21,-0.96,70,54
Snow Man,D.D.,https://open.spotify.com/track/1aUuEO2zNz6HQfoeXwV5c0,./downloaded_mp3/Snow Man_D.D..mp3,2019,84,99,63.6,29.4,45,2862,-0.76,-0.91,66,58
Official髭男dism,115万キロのフィルム,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,./downloaded_mp3/Official髭男dism_115万キロのフィルム.mp3,2019,83,90,40.85,26.0,247,10091,0.54,-1.11,71,67
ヨルシカ,ただ君に晴れ,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,./downloaded_mp3/ヨルシカ_ただ君に晴れ.mp3,2019,79,79,30.61,19.52,147,4500,0.66,-0.43,72,71
Mrs.GREEN APPLE,インフェルノ,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT,./downloaded_mp3/Mrs.GREEN APPLE_インフェルノ.mp3,2019,77,84,48.4,22.54,238,11519,-0.56,-0.76,80,68
SixTONES,Imitation Rain,https://open.spotify.com/track/03TJRLzsaDf9KqQShGgVg9,./downloaded_mp3/SixTONES_Imitation Rain.mp3,2019,75,100,52.42,27.84,52,2726,-0.07,-1.44,60,54
Mrs.GREEN APPLE,僕のこと,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4,./downloaded_mp3/Mrs.GREEN APPLE_僕のこと.mp3,2019,73,94,40.17,23.44,204,8195,0.35,-0.98,80,72
King Gnu,Teenager Forever,https://open.spotify.com/track/7wnOPAiqvIG4dTvEInj0YT,./downloaded_mp3/King Gnu_Teenager Forever.mp3,2019,71,96,64.86,25.38,35,2270,-0.82,-0.18,70,62
wacci,別の人の彼女になったよ,https://open.spotify.com/track/666wLEFj1AtTNBEcErygLz,./downloaded_mp3/wacci_別の人の彼女になったよ.mp3,2019,66,66,40.4,15.73,58,2343,-0.83,0.34,54,61
King Gnu,飛行艇,https://open.spotify.com/track/5vsM9UppL2iTgOfenMB6Gz,./downloaded_mp3/King Gnu_飛行艇.mp3,2019,59,91,65.25,19.02,53,3458,-1.5,2.28,70,65
