Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5210363872644574,0.4925682261208577,0.5240415854450942,0.5371994801819363
Kurtosis,0.4996300102774923,0.5013155190133607,0.5074614594039054,0.5588900308324769
Length,0.49607843137254903,0.521609477124183,0.5524101307189543,0.6387663398692811
Max,0.5226055194805195,0.6030438311688311,0.5800730519480519,0.6188311688311688
Mean,0.5038643371017472,0.5334840698869476,0.5321068859198356,0.5882836587872559
Skewness,0.5077404479578392,0.49061264822134387,0.4809370882740448,0.48884222661396576
Std,0.493421052631579,0.49691358024691357,0.5072287199480182,0.5276153346328785
Sum,0.49522058823529413,0.5943627450980392,0.49787581699346406,0.5861519607843138
Average,0.5049495967901847,0.5292387621100596,0.522766842331421,0.5680725250666596



training,2010,2011,2012,2013
val,2014
test,2015



Data Shapes
traing_data(%),67.8849902534113
Train,1393
Val,345
Test,314
