Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5084908963585434,0.4423144257703081,0.49238445378151263,0.47085084033613445
Kurtosis,0.48841698841698844,0.5520431145431146,0.4978281853281853,0.601994851994852
Length,0.5133003402412619,0.5530467058459635,0.5711413547788431,0.6212496133622023
Max,0.558625730994152,0.5982456140350877,0.5997076023391813,0.6081140350877193
Mean,0.46821905339805825,0.5693264563106797,0.46821905339805825,0.4889259708737864
Skewness,0.5078237151880562,0.49454493252942866,0.5623026126902095,0.5554120011484353
Std,0.5583019460138104,0.5320935342121783,0.5775266792215945,0.5791745134965474
Sum,0.48792341678939616,0.5494108983799706,0.5196612665684831,0.6250368188512518
Average,0.5113877609250334,0.5363782102033414,0.5360964010132585,0.568844830643866



training,2016,2017,2018,2019
val,2020
test,2021



Data Shapes
traing_data(%),73.37962962962963
Train,951
Val,178
Test,167
