Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.48622710622710624,0.5457142857142857,0.5091575091575091,0.5032234432234433
Kurtosis,0.550562640660165,0.5382595648912228,0.5189047261815454,0.6017254313578395
Length,0.5251602564102564,0.5413461538461538,0.5299679487179487,0.6224358974358974
Max,0.5076076779026217,0.5713951310861423,0.5878394194756554,0.6319639513108615
Mean,0.5271739130434783,0.5464878447872837,0.4732059373539037,0.5513966806919122
Skewness,0.4913765383378643,0.4696717238153702,0.46670466836212693,0.4765120289982168
Std,0.5211205760955475,0.555457978396417,0.5545066010948158,0.5571119112438161
Sum,0.5331996106309549,0.5242175747028112,0.504704875962361,0.6205126692427951
Average,0.5178035399134993,0.5365687821549608,0.5181239607882333,0.5706102516880978



training,2008,2009,2010,2011
val,2012
test,2013



Data Shapes
traing_data(%),65.48247719635143
Train,1364
Val,349
Test,370
