Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5521739130434783,0.46657608695652175,0.5032608695652174,0.4807065217391304
Kurtosis,0.512006512006512,0.532424365757699,0.5284221950888617,0.6195902862569529
Length,0.5748604872737172,0.5938478290458691,0.5321219545392677,0.6691847012386007
Max,0.5103419746276889,0.5797021511307225,0.5376447876447876,0.5528130170987314
Mean,0.5413961038961039,0.5292207792207793,0.5641233766233766,0.588474025974026
Skewness,0.4948446615113282,0.4745624745624746,0.4732058065391399,0.47388414055080724
Std,0.5883894098179812,0.5950082735797022,0.605350248207391,0.5919746276889134
Sum,0.5031203364536698,0.5455162121828788,0.524284357617691,0.5880477547144214
Average,0.5346416748288099,0.5396072715545808,0.5335516994782167,0.570584384407698



training,2018,2019,2020,2021
val,2022
test,2023



Data Shapes
traing_data(%),68.84247171453438
Train,791
Val,186
Test,172
