Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4852941176470588,0.5859593837535013,0.4916841736694678,0.46244747899159666
Kurtosis,0.48841698841698844,0.5342664092664092,0.48045366795366795,0.62001287001287
Length,0.474791215589236,0.4678317352304361,0.5244355088153417,0.6517939993813795
Max,0.5480994152046783,0.5807748538011696,0.5839181286549707,0.6095760233918128
Mean,0.4633646844660194,0.5383040048543689,0.4954490291262136,0.4981796116504854
Skewness,0.5078237151880562,0.49806201550387597,0.422121734137238,0.47193511340798167
Std,0.5451977401129944,0.5544569993722537,0.5775266792215945,0.5799591964846202
Sum,0.5077319587628866,0.541899852724595,0.5240058910162002,0.6238586156111929
Average,0.5025899794234898,0.5376944068133263,0.5124493515743368,0.5647203636164924



training,2016,2017,2018,2019
val,2020
test,2021



Data Shapes
traing_data(%),73.37962962962963
Train,951
Val,178
Test,167
