Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5524896525774489,0.5213219616204691,0.5279066850620846,0.53104226765333
Kurtosis,0.4972135144548938,0.5393591083246255,0.5029606408916754,0.6189481017067224
Length,0.5365116279069768,0.5398837209302325,0.5715116279069767,0.6393023255813953
Max,0.4557748538011696,0.5314327485380117,0.555921052631579,0.49524853801169594
Mean,0.48573747680890533,0.5277133580705009,0.4704313543599258,0.48840445269016697
Skewness,0.5204336947456214,0.5131657333492196,0.5387823185988323,0.5265697605147146
Std,0.5594594594594595,0.5036036036036036,0.5239639639639639,0.5403603603603604
Sum,0.5431395348837209,0.49,0.4856976744186047,0.6110465116279069
Average,0.5188449768297745,0.5208100293045829,0.5221469147292053,0.5563652897682865



training,2017,2018,2019,2020
val,2021
test,2022



Data Shapes
traing_data(%),71.11292962356792
Train,869
Val,167
Test,186
