アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
星野源,恋,100,https://open.spotify.com/track/5Hu29JT4xtbRUBTZeOAjxW,66,61,./downloaded_mp3/星野源_恋.mp3
THE YELLOW MONKEY,砂の塔,98,https://open.spotify.com/track/4s8jSoH9K7NzVBn8TiqdSg,50,42,./downloaded_mp3/THE YELLOW MONKEY_砂の塔.mp3
RADWIMPS,前前前世,96,https://open.spotify.com/track/3OWQGA40CgyZ7AHhVTOe34,75,57,./downloaded_mp3/RADWIMPS_前前前世.mp3
サカナクション,多分、風。,95,https://open.spotify.com/track/3CUMIkvvarUDjD5bVIWKl8,66,58,./downloaded_mp3/サカナクション_多分、風。.mp3
宇多田ヒカル,道,91,https://open.spotify.com/track/4nYtqZDscX8TLvR4p0ON1s,73,63,./downloaded_mp3/宇多田ヒカル_道.mp3
西野カナ,Dear Bride,88,https://open.spotify.com/track/4NldFTO8QMKacRAy0K34Wd,63,49,./downloaded_mp3/西野カナ_Dear Bride.mp3
Hi-STANDARD,ANOTHER STARTING LINE,86,https://open.spotify.com/track/1dU1fbsT81XkK4pofEjwBs,50,41,./downloaded_mp3/Hi-STANDARD_ANOTHER STARTING LINE.mp3
秦基博,70億のピース,85,https://open.spotify.com/track/4Dzbe4mOffgDuKZXX6W0sZ,57,29,./downloaded_mp3/秦基博_70億のピース.mp3
SPYAIR,RAGE OF DUST,84,https://open.spotify.com/track/4HlHiyPywAdHVYjKzuvWjY,58,46,./downloaded_mp3/SPYAIR_RAGE OF DUST.mp3
清水翔太,My Boo,82,https://open.spotify.com/track/0DxfR2OYoEbSOmmUtWcRIE,65,61,./downloaded_mp3/清水翔太_My Boo.mp3
JY,好きな人がいること,81,https://open.spotify.com/track/5gK68pLKQh7naWNuZm7wbT,42,53,./downloaded_mp3/JY_好きな人がいること.mp3
米津玄師,LOSER,80,https://open.spotify.com/track/7AqUE5AY514dbzeOAfJRa0,80,67,./downloaded_mp3/米津玄師_LOSER.mp3
SEKAI NO OWARI,Hey Ho,76,https://open.spotify.com/track/2xsxP0EzcSWF96jdITaQxE,66,44,./downloaded_mp3/SEKAI NO OWARI_Hey Ho.mp3
AAA,涙のない世界,75,https://open.spotify.com/track/5X0oBfMej8jeiiCciQll97,55,34,./downloaded_mp3/AAA_涙のない世界.mp3
星野源,SUN,71,https://open.spotify.com/track/1DOZa2VoazIiDjGYlUQTlW,66,62,./downloaded_mp3/星野源_SUN.mp3
RADWIMPS,スパークル,69,https://open.spotify.com/track/1HdqMIGjLm8wkL4vWDcFPm,75,64,./downloaded_mp3/RADWIMPS_スパークル.mp3
BTS (防弾少年団),Blood Sweat & Tears,68,https://open.spotify.com/track/2u54HNQamwFuOMLSuhSRom,86,74,./downloaded_mp3/BTS (防弾少年団)_Blood Sweat & Tears.mp3
Hey!Say!JUMP,Fantastic Time,63,https://open.spotify.com/track/7ndIcmZX3eVSAcosAChgUS,57,34,./downloaded_mp3/Hey!Say!JUMP_Fantastic Time.mp3
宇多田ヒカル,花束を君に,61,https://open.spotify.com/track/31yv1hR9gw1WSEmtqsaZbD,73,65,./downloaded_mp3/宇多田ヒカル_花束を君に.mp3
ONE OK ROCK,Wherever you are,60,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,71,66,./downloaded_mp3/ONE OK ROCK_Wherever you are.mp3
"大和守安定(市来光弘),加州清光(増田俊樹)",花丸◎日和!,59,https://open.spotify.com/track/0jNL3WnMQz0tOU5qHwht9P,25,32,"./downloaded_mp3/大和守安定(市来光弘),加州清光(増田俊樹)_花丸◎日和!.mp3"
RADWIMPS,夢灯籠,58,https://open.spotify.com/track/7swTJOnvm3zEg7QdmJs52T,75,63,./downloaded_mp3/RADWIMPS_夢灯籠.mp3
Happiness,Ordinary Girls,56,https://open.spotify.com/track/1gQb1B2dgZWCBzhCMRALLg,25,27,./downloaded_mp3/Happiness_Ordinary Girls.mp3
back number,ハッピーエンド,53,https://open.spotify.com/track/4GqO80eGXA542oTvlYv4LS,77,74,./downloaded_mp3/back number_ハッピーエンド.mp3
Superfly,99,50,https://open.spotify.com/track/3t1M7SkoBzSk5sXt3BLsFo,59,36,./downloaded_mp3/Superfly_99.mp3
THE YELLOW MONKEY,ALRIGHT,49,https://open.spotify.com/track/5zuCYFR6xBbenzO9ffPZeS,50,36,./downloaded_mp3/THE YELLOW MONKEY_ALRIGHT.mp3
DEAN FUJIOKA,History Maker,48,https://open.spotify.com/track/388Goi8izhV978LfGi0AQM,39,34,./downloaded_mp3/DEAN FUJIOKA_History Maker.mp3
[Alexandros],Feel like,47,https://open.spotify.com/track/5G0dqqXFlicTj6cMIy5EIF,58,37,./downloaded_mp3/[Alexandros]_Feel like.mp3
欅坂46,サイレントマジョリティー,45,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5,49,53,./downloaded_mp3/欅坂46_サイレントマジョリティー.mp3
桑田佳祐,君への手紙,44,https://open.spotify.com/track/6AYiMecNVEj7XHTYuGztSa,57,35,./downloaded_mp3/桑田佳祐_君への手紙.mp3
秦基博,ひまわりの約束,43,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d,57,63,./downloaded_mp3/秦基博_ひまわりの約束.mp3
aiko,恋をしたのは,42,https://open.spotify.com/track/58HhVshAYiu0HO0M0qPiRd,62,37,./downloaded_mp3/aiko_恋をしたのは.mp3
西野カナ,Have a nice day,41,https://open.spotify.com/track/0QupnB0s2ZFEiPfPtfIwl4,63,51,./downloaded_mp3/西野カナ_Have a nice day.mp3
BURNOUT SYNDROMES,ヒカリアレ,40,https://open.spotify.com/track/5WLaJoYalaASb9JB7Yk5U6,54,60,./downloaded_mp3/BURNOUT SYNDROMES_ヒカリアレ.mp3
林部智史,あいたい,39,https://open.spotify.com/track/1qUuLV8QHVvkdEAToP0aoM,33,29,./downloaded_mp3/林部智史_あいたい.mp3
欅坂46,世界には愛しかない,35,https://open.spotify.com/track/4Arae8hvCXOLiofE0VcnFo,49,42,./downloaded_mp3/欅坂46_世界には愛しかない.mp3
Suchmos,STAY TUNE,33,https://open.spotify.com/track/1KKc8f9ZiKFzOeRJJ3SYn7,55,62,./downloaded_mp3/Suchmos_STAY TUNE.mp3
西野カナ,トリセツ,31,https://open.spotify.com/track/23b0C1AE9Jt408lzWIvPSn,63,55,./downloaded_mp3/西野カナ_トリセツ.mp3
ShuuKaRen,UNIVERSE,30,https://open.spotify.com/track/4X1RYp4o5WEyqslCPcxOzw,14,24,./downloaded_mp3/ShuuKaRen_UNIVERSE.mp3
三代目 J Soul Brothers from EXILE TRIBE,Welcome to TOKYO,28,https://open.spotify.com/track/0DmYTqtPlEgfGtzVvFFnfR,55,39,./downloaded_mp3/三代目 J Soul Brothers from EXILE TRIBE_Welcome to TOKYO.mp3
RADWIMPS,光,25,https://open.spotify.com/track/2uR9GsiKf0HQ65l5iDiAYx,75,43,./downloaded_mp3/RADWIMPS_光.mp3
米津玄師,アイネクライネ,24,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,80,69,./downloaded_mp3/米津玄師_アイネクライネ.mp3
Perfume,FLASH,22,https://open.spotify.com/track/2IwBJv9KZb486qnRTUchWf,57,52,./downloaded_mp3/Perfume_FLASH.mp3
松田聖子,薔薇のように咲いて 桜のように散って,19,https://open.spotify.com/track/57r9tjNf2tqWmmp8So8TEN,56,42,./downloaded_mp3/松田聖子_薔薇のように咲いて 桜のように散って.mp3
BIGBANG,BANG BANG BANG,16,https://open.spotify.com/track/2ispu3yKamZhCGf2Aj4roe,70,53,./downloaded_mp3/BIGBANG_BANG BANG BANG.mp3
Flower,他の誰かより悲しい恋をしただけ,12,https://open.spotify.com/track/4FLqIoJrWse8uiKkqTOP9u,44,41,./downloaded_mp3/Flower_他の誰かより悲しい恋をしただけ.mp3
Aimer(エメ),蝶々結び,10,https://open.spotify.com/track/3HxJaKzob7tdcr4qmqfR1d,66,55,./downloaded_mp3/Aimer(エメ)_蝶々結び.mp3
[Alexandros],ワタリドリ,7,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,58,68,./downloaded_mp3/[ALEXANDROS]_ワタリドリ.mp3
Nissy(西島隆弘),まだ君は知らない MY PRETTIEST GIRL,5,https://open.spotify.com/track/3PwyYPqtXM1WRy5HV6hICE,53,47,./downloaded_mp3/Nissy(西島隆弘)_まだ君は知らない MY PRETTIEST GIRL.mp3
いきものがかり,ラストシーン,4,https://open.spotify.com/track/06KAVn6lofXi28tilDkZ1X,63,44,./downloaded_mp3/いきものがかり_ラストシーン.mp3
星野源,時よ,2,https://open.spotify.com/track/72CAbDIuiTIerMusyaQ0hv,66,50,./downloaded_mp3/星野源_時よ.mp3
浦島太郎(桐谷健太),海の声,1,https://open.spotify.com/track/6EjGsUuJmyxdHjKzGN8kPy,38,56,./downloaded_mp3/浦島太郎(桐谷健太)_海の声.mp3
