アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
嵐,Bittersweet,100,https://open.spotify.com/track/1a2CdI5ysXBHfNKF6ofGHR,66,48,./downloaded_mp3/嵐_Bittersweet.mp3
miwa,Faith,99,https://open.spotify.com/track/3Hopv4QLlqFgKLdJ3z8iIG,53,30,./downloaded_mp3/miwa_Faith.mp3
ファンキー加藤,My VOICE,98,https://open.spotify.com/track/22kEKXEMyDUiscSTF56hYl,19,17,./downloaded_mp3/ファンキー加藤_My VOICE.mp3
ゆず,ヒカレ,97,https://open.spotify.com/track/1GKo11Rq4FtkZFMIl1olop,56,39,./downloaded_mp3/ゆず_ヒカレ.mp3
SEKAI NO OWARI,スノーマジックファンタジー,95,https://open.spotify.com/track/0hq1cLVaFYZwNf7Nepy5NF,66,50,./downloaded_mp3/SEKAI NO OWARI_スノーマジックファンタジー.mp3
T.M.Revolution,Count ZERO,94,https://open.spotify.com/track/0vDSoWpnz2sfLm2BaiiSMl,53,26,./downloaded_mp3/T.M.Revolution_Count ZERO.mp3
家入レオ,チョコレート,92,https://open.spotify.com/track/5ohq6Zdcwl7VSNUA3wrWEf,52,29,./downloaded_mp3/家入レオ_チョコレート.mp3
東方神起,Hide & Seek,90,https://open.spotify.com/track/4TIhRy7fxK9LDfgDOjKF76,53,17,./downloaded_mp3/東方神起_Hide & Seek.mp3
コブクロ,今、咲き誇る花たちよ,88,https://open.spotify.com/track/7sGcm1Di48z3GepkfsBfTx,59,46,./downloaded_mp3/コブクロ_今、咲き誇る花たちよ.mp3
Rihwa,春風,87,https://open.spotify.com/track/062vgVRYTt2xXYLe0FBO9b,33,46,./downloaded_mp3/Rihwa_春風.mp3
ビヨンセ,XO,86,https://open.spotify.com/track/40xhyfAPDoMtv494MfPevP,85,68,./downloaded_mp3/ビヨンセ_XO.mp3
絢香,number one,85,https://open.spotify.com/track/5Az4Gv4goIn3re8kyByetq,55,22,./downloaded_mp3/絢香_number one.mp3
back number,fish,83,https://open.spotify.com/track/067KuBjJphffCxUkxDCmcG,77,50,./downloaded_mp3/back number_fish.mp3
aiko,君の隣,82,https://open.spotify.com/track/5EnpzaVx6OTKQvRq4xkExI,62,26,./downloaded_mp3/aiko_君の隣.mp3
Hey!Say!JUMP,AinoArika,81,https://open.spotify.com/track/5zoxLmxyiwE0eBwT8TbEdH,57,33,./downloaded_mp3/Hey!Say!JUMP_AinoArika.mp3
Silent Siren,ぐるぐるワンダーランド,78,https://open.spotify.com/track/3g2I4Ni0hcPTQZ5PYXy5xy,48,25,./downloaded_mp3/Silent Siren_ぐるぐるワンダーランド.mp3
Perfume,チョコレイト・ディスコ,77,https://open.spotify.com/track/35WLGytCEIVPLBPfhNPhTp,57,42,./downloaded_mp3/Perfume_チョコレイト・ディスコ.mp3
フジファブリック,LIFE,76,https://open.spotify.com/track/35bd6sWyoO1wiedqckFDmV,50,31,./downloaded_mp3/フジファブリック_LIFE.mp3
AKB48,恋するフォーチュンクッキー,75,https://open.spotify.com/track/3Tw2WaAaeRj0YKtTUogJVz,56,50,./downloaded_mp3/AKB48_恋するフォーチュンクッキー.mp3
UNISON SQUARE GARDEN,harmonized finale,72,https://open.spotify.com/track/2L7CbheAwtkzVdmlS3PIfQ,55,35,./downloaded_mp3/UNISON SQUARE GARDEN_harmonized finale.mp3
SUPER☆GiRLS,空色のキセキ,71,https://open.spotify.com/track/5W4rCXF1fpunnrIfxhg1Zk,23,2,./downloaded_mp3/SUPER☆GiRLS_空色のキセキ.mp3
EXILE ATSUSHI,青い龍,69,https://open.spotify.com/track/2nugwVzNHiL3yzrq6WeH4Y,44,38,./downloaded_mp3/EXILE ATSUSHI_青い龍.mp3
μ's,タカラモノズ,67,https://open.spotify.com/track/6k5rvaHG1lD6wJirlEGse3,45,27,./downloaded_mp3/μ's_タカラモノズ.mp3
KANA-BOON,結晶星,64,https://open.spotify.com/track/0zd7ypzzR3gWz0vCq4c3xZ,62,34,./downloaded_mp3/KANA-BOON_結晶星.mp3
ゆず,雨のち晴レルヤ,62,https://open.spotify.com/track/2wFPlYuYlCYxu2zcutQnuL,56,46,./downloaded_mp3/ゆず_雨のち晴レルヤ.mp3
JUJU,Door,61,https://open.spotify.com/track/5X9tLrNth3XLGJTBfEmQ8J,54,25,./downloaded_mp3/JUJU_Door.mp3
chay,I am,60,https://open.spotify.com/track/3s4FCszZPPAsqlAcwTDP0b,40,9,./downloaded_mp3/chay_I am.mp3
ケラケラ,ひとつだけ,58,https://open.spotify.com/track/22ibqf247EbAlaWJDTTlpJ,35,5,./downloaded_mp3/ケラケラ_ひとつだけ.mp3
KREVA,トランキライザー,57,https://open.spotify.com/track/3fQ1qQdNgUbYm6u6fjxt1C,45,25,./downloaded_mp3/KREVA_トランキライザー.mp3
関取花,最後の青,55,https://open.spotify.com/track/3SiLwCGEr1tVgp1UDQmCU1,32,15,./downloaded_mp3/関取花_最後の青.mp3
USAGI,イマジン,54,https://open.spotify.com/track/3kGax2WM5XD2eLjQkAZjwc,2,2,./downloaded_mp3/USAGI_イマジン.mp3
田村ゆかり,秘密の扉から会いにきて,52,https://open.spotify.com/track/6MDuCmSdP00j47oEavVBwR,34,31,./downloaded_mp3/田村ゆかり_秘密の扉から会いにきて.mp3
SEKAI NO OWARI,RPG,51,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,66,66,./downloaded_mp3/SEKAI NO OWARI_RPG.mp3
住岡梨奈,言葉にしたいんだ,43,https://open.spotify.com/track/5RtYj2aLseFzu4vJe1Xxg4,12,21,./downloaded_mp3/住岡梨奈_言葉にしたいんだ.mp3
WHITE JAM,Valentine,39,https://open.spotify.com/track/7dWEDYwIzcBkE78FS78EDB,41,34,./downloaded_mp3/WHITE JAM_Valentine.mp3
ClariS,CLICK,33,https://open.spotify.com/track/3lVjrhRTt8nQ99kan7pOmj,50,46,./downloaded_mp3/ClariS_CLICK.mp3
きゃりーぱみゅぱみゅ,ゆめのはじまりんりん,32,https://open.spotify.com/track/7gBIznDkQDsTelQnBmxzjN,52,33,./downloaded_mp3/きゃりーぱみゅぱみゅ_ゆめのはじまりんりん.mp3
清水翔太,DREAM,30,https://open.spotify.com/track/7ssY4P3yB4pcE7FWH7SvDD,65,54,./downloaded_mp3/清水翔太_DREAM.mp3
サカナクション,グッドバイ,24,https://open.spotify.com/track/7uqJ3N5wiISiyzkQMMCeMR,66,47,./downloaded_mp3/サカナクション_グッドバイ.mp3
E-girls,ごめんなさいのKissing You,19,https://open.spotify.com/track/2OTMaSpL6re81Z1mL9RSb6,47,49,./downloaded_mp3/E-girls_ごめんなさいのKissing You.mp3
androp,One,18,https://open.spotify.com/track/6De91b168VIsGR8VuDRnss,38,19,./downloaded_mp3/androp_One.mp3
Hello Sleepwalkers,午夜の待ち合わせ,14,https://open.spotify.com/track/0MGQHJPSWR2e2fj8VTNLYF,42,38,./downloaded_mp3/Hello Sleepwalkers_午夜の待ち合わせ.mp3
国生さゆり,バレンタイン・キッス,12,https://open.spotify.com/track/2N8hrhxDHw5RBdcQdIStwO,21,28,./downloaded_mp3/国生さゆり_バレンタイン・キッス.mp3
AAA,恋音と雨空,10,https://open.spotify.com/track/3KcT7QC0x2XyL6jtfLoGPm,55,48,./downloaded_mp3/AAA_恋音と雨空.mp3
サカナクション,ユリイカ,6,https://open.spotify.com/track/2iFpk2lHYW6cH7i4p52AY4,66,50,./downloaded_mp3/サカナクション_ユリイカ.mp3
miwa,ヒカリヘ,3,https://open.spotify.com/track/0ZGSqq2w7og9UQyWYBXLSq,53,51,./downloaded_mp3/miwa_ヒカリヘ.mp3
レミオロメン,粉雪,2,https://open.spotify.com/track/1Vimcaq6kgTq6xgHSnr4pS,52,63,./downloaded_mp3/レミオロメン_粉雪.mp3
