アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
AKB48,前しか向かねえ,100,https://open.spotify.com/track/1fFHv2WKSpD6rKSRACMYc4,56,27,./downloaded_mp3/AKB48_前しか向かねえ.mp3
Rihwa,春風,99,https://open.spotify.com/track/062vgVRYTt2xXYLe0FBO9b,33,46,./downloaded_mp3/Rihwa_春風.mp3
きゃりーぱみゅぱみゅ,ゆめのはじまりんりん,98,https://open.spotify.com/track/7gBIznDkQDsTelQnBmxzjN,52,33,./downloaded_mp3/きゃりーぱみゅぱみゅ_ゆめのはじまりんりん.mp3
KANA-BOON,結晶星,97,https://open.spotify.com/track/0zd7ypzzR3gWz0vCq4c3xZ,62,34,./downloaded_mp3/KANA-BOON_結晶星.mp3
クリス・ハート,I LOVE YOU,95,https://open.spotify.com/track/0mf82mK5aeZm4vN9HM2InQ,45,54,./downloaded_mp3/クリス・ハート_I LOVE YOU.mp3
E-girls,Diamond Only,93,https://open.spotify.com/track/5xw1DV9X8VWtoW7ngdiaU8,47,27,./downloaded_mp3/E-girls_Diamond Only.mp3
嵐,Bittersweet,92,https://open.spotify.com/track/1a2CdI5ysXBHfNKF6ofGHR,66,48,./downloaded_mp3/嵐_Bittersweet.mp3
ゆず,ヒカレ,91,https://open.spotify.com/track/1GKo11Rq4FtkZFMIl1olop,56,39,./downloaded_mp3/ゆず_ヒカレ.mp3
JUJU,Hot Stuff,88,https://open.spotify.com/track/4SqVCLTlBwIbYjCtl7rKr1,54,24,./downloaded_mp3/JUJU_Hot Stuff.mp3
コブクロ,今、咲き誇る花たちよ,86,https://open.spotify.com/track/7sGcm1Di48z3GepkfsBfTx,59,46,./downloaded_mp3/コブクロ_今、咲き誇る花たちよ.mp3
miwa,Faith,85,https://open.spotify.com/track/3Hopv4QLlqFgKLdJ3z8iIG,53,30,./downloaded_mp3/miwa_Faith.mp3
剛力彩芽,あなたの100の嫌いなところ,84,https://open.spotify.com/track/527sPiHor0xv5EHCk79lCF,18,11,./downloaded_mp3/剛力彩芽_あなたの100の嫌いなところ.mp3
