Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.518560606060606,0.5140151515151515,0.5321969696969697,0.5386363636363636
Kurtosis,0.514980432411625,0.5435940206582408,0.5274267017386284,0.6109257714762302
Length,0.4918032786885246,0.5540983606557377,0.5750945775535939,0.6658890290037831
Max,0.5158730158730159,0.5515873015873016,0.5119047619047619,0.5634920634920635
Mean,0.5575498575498575,0.4965811965811966,0.5421652421652422,0.5259259259259259
Skewness,0.5271591697684689,0.5217651883161946,0.5452652829474481,0.5491136205917608
Std,0.5796107916850951,0.5311808934099955,0.5283060592658115,0.550641309155241
Sum,0.4989527134243098,0.5078070453824183,0.5137099333544906,0.5941605839416059
Average,0.5255612331826879,0.5275786447632795,0.5345086910783683,0.5748480834028717



training,2013,2014,2015,2016
val,2017
test,2018



Data Shapes
traing_data(%),72.17245240761478
Train,1289
Val,245
Test,252
