Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.44806703169072504,0.45196615231458437,0.4479011116641779,0.4277418284386926
Kurtosis,0.49002928461860273,0.5286570910612187,0.5174313205968484,0.6312229814530749
Length,0.5,0.5509751070239417,0.5562073886158236,0.6775804661487237
Max,0.5413745704467354,0.5518900343642612,0.5235051546391752,0.527766323024055
Mean,0.49372323142814944,0.5542755870624723,0.5211933244720129,0.5304977108255797
Skewness,0.5,0.5317782285327924,0.4743069641649763,0.5382691007437458
Std,0.530952380952381,0.5,0.5,0.5
Sum,0.49561403508771934,0.5282346491228069,0.5496162280701754,0.6425438596491229
Average,0.4999700667780391,0.5247221061852597,0.5112701865278987,0.5594527837853743



training,2020,2021,2022,2023
val,2024
test,2025



Data Shapes
traing_data(%),66.0093896713615
Train,703
Val,190
Test,172
