Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5,0.5,0.48008877615726064,0.5169308814204185
Kurtosis,0.5,0.5557657278968755,0.5,0.5945074961468404
Length,0.5644991443991049,0.5153350006581545,0.5623272344346453,0.6294589969724891
Max,0.5051986896453496,0.5386697051702036,0.5737074490813274,0.5823956701324597
Mean,0.5175287356321839,0.5,0.5436781609195402,0.5656609195402299
Skewness,0.4936676798378926,0.5354609929078014,0.48100303951367784,0.5154508611955421
Std,0.5253220140515222,0.4966334894613583,0.5286885245901639,0.5737704918032787
Sum,0.5453259611675453,0.5585701427285585,0.5317603188890317,0.6053748231966054
Average,0.5189427780916999,0.5250543823528689,0.5251566879482059,0.572943767550983



training,2015,2016,2017,2018
val,2019
test,2020



Data Shapes
traing_data(%),74.22037422037423
Train,1071
Val,194
Test,178
