Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5535326086956521,0.48125,0.4845108695652174,0.5135869565217391
Kurtosis,0.5325600325600326,0.5696649029982364,0.4949124949124949,0.6457061457061457
Length,0.525792840615217,0.5396760582550701,0.5523342861031714,0.6546209337144413
Max,0.5286817429674573,0.5933535576392719,0.5694980694980695,0.5239933811362383
Mean,0.5938852813852813,0.535443722943723,0.5197510822510822,0.5032467532467533
Skewness,0.5023741690408356,0.4735449735449735,0.5278795278795279,0.521706688373355
Std,0.6236900165471594,0.547573083287369,0.5799779371207943,0.5599834528405957
Sum,0.4866368199701533,0.49280965947632616,0.5126170126170126,0.6408899742233075
Average,0.5433941889727236,0.5291644947681212,0.5301851599934212,0.570466785720322



training,2018,2019,2020,2021
val,2022
test,2023



Data Shapes
traing_data(%),68.84247171453438
Train,791
Val,186
Test,172
