Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5413318657127133,0.5773252614199229,0.4990093560814529,0.5278481012658227
Kurtosis,0.5190761915543982,0.5564926978376543,0.5152835956073814,0.6008717310087173
Length,0.5394957983193277,0.4955742296918767,0.4857142857142857,0.5774229691876751
Max,0.4940917391771404,0.5817488452035664,0.5896444301213879,0.6194005800837898
Mean,0.6089075630252101,0.5447058823529412,0.6012324929971988,0.6093557422969188
Skewness,0.45337586390217965,0.5470494417862839,0.5178096757044125,0.5072833599149389
Std,0.5053835053835054,0.5397380397380398,0.5113775113775114,0.5569985569985569
Sum,0.5319407603890363,0.532603890362511,0.5134836427939876,0.5804597701149425
Average,0.5242004109329389,0.5469047860490995,0.5291943737997022,0.5724551013589203



training,2014,2015,2016,2017
val,2018
test,2019



Data Shapes
traing_data(%),72.29813664596273
Train,1164
Val,252
Test,194
