Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4682459677419355,0.5481350806451613,0.5967741935483871,0.5808971774193548
Kurtosis,0.5314820973284557,0.5104201308058973,0.5310941137346192,0.634962864427447
Length,0.4880260006842285,0.5442467784239936,0.5416809214277569,0.663758695404265
Max,0.495324438362413,0.5453301402668491,0.6001254418975939,0.5740677386247006
Mean,0.5421052631578948,0.5,0.5684210526315789,0.5210526315789473
Skewness,0.4681959219858156,0.518395390070922,0.5002216312056738,0.5172872340425532
Std,0.5432134237443972,0.49103551315940697,0.5210895299390874,0.5066084358119756
Sum,0.5340051795968922,0.5273617835829298,0.5708816574710055,0.6393424163945501
Average,0.5088247865752541,0.523115602119395,0.5537860677319629,0.5797471492129742



training,2019,2020,2021,2022
val,2023
test,2024



Data Shapes
traing_data(%),66.69733210671573
Train,725
Val,172
Test,190
