Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5739753612887941,0.5025467898602227,0.5412816868040748,0.5356550580431177
Kurtosis,0.5108492692035285,0.5011911660549868,0.52514326186337,0.5731762281887838
Length,0.5148809523809523,0.5476190476190477,0.555952380952381,0.6190476190476191
Max,0.5809643006138625,0.6358543417366946,0.5577209607247153,0.6068597651826688
Mean,0.4855072463768116,0.5143739605607033,0.49340698503207414,0.5225706818721787
Skewness,0.4653846153846154,0.46923076923076923,0.45769230769230773,0.49230769230769234
Std,0.5244047619047619,0.5333333333333334,0.5226190476190476,0.5113095238095238
Sum,0.5143157504174138,0.5382783996042297,0.5431327685362686,0.595603240368561
Average,0.5212852821963425,0.5303034759999985,0.5246186749030299,0.5570662261025182



training,2011,2012,2013,2014
val,2015
test,2016



Data Shapes
traing_data(%),71.01010101010101
Train,1406
Val,314
Test,260
