Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4813861985472155,0.5113498789346247,0.491273204196933,0.5186642453591606
Kurtosis,0.4839685420447671,0.538364589635007,0.5706291591046582,0.6094474692478322
Length,0.5114982578397212,0.553397212543554,0.5261324041811847,0.6566202090592335
Max,0.51628861815979,0.5100457696708622,0.5310796257656324,0.6229723362724642
Mean,0.5343589743589743,0.5615384615384615,0.5671794871794872,0.563076923076923
Skewness,0.48002778154221437,0.49801802412250984,0.469253963951755,0.48629556850521755
Std,0.5263273143781162,0.536635898126937,0.5127172887750977,0.48832704487265866
Sum,0.5367840075385341,0.5289425859864038,0.5381470014134752,0.6348690852796661
Average,0.5088299618011666,0.5297865525697951,0.5258015168210279,0.5725341102091445



training,2009,2010,2011,2012
val,2013
test,2014



Data Shapes
traing_data(%),65.625
Train,1365
Val,370
Test,345
