Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5603578629032258,0.576234879032258,0.532258064516129,0.5611139112903225
Kurtosis,0.542013080589735,0.4891364593725751,0.5175701141780291,0.6403392085134685
Length,0.5168776371308017,0.490078686281218,0.5244041509864295,0.678982780248603
Max,0.5514311780134564,0.5280533698255218,0.5774888812863497,0.5730984148705668
Mean,0.5368421052631579,0.5210526315789474,0.5368421052631579,0.5263157894736842
Skewness,0.5207225177304965,0.4862588652482269,0.4691932624113475,0.5326906028368794
Std,0.544707504884496,0.5382139983909895,0.5322951384898288,0.5086771635444203
Sum,0.5948654430807341,0.5467852719288369,0.569530458281725,0.6673797995721202
Average,0.5459771661995129,0.5219767702073216,0.5324477719266246,0.5860747087937581



training,2019,2020,2021,2022
val,2023
test,2024



Data Shapes
traing_data(%),66.69733210671573
Train,725
Val,172
Test,190
