Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.5319829424307037,0.5442117145365608,0.5221999247460178,0.4942305280321083
Kurtosis,0.49651689306861724,0.5090560780215952,0.507488679902473,0.5980494601184256
Length,0.5365116279069768,0.5306976744186047,0.5308139534883721,0.636860465116279
Max,0.5047514619883041,0.5226608187134503,0.5259502923976609,0.472953216374269
Mean,0.47553339517625237,0.5015074211502782,0.4436456400742115,0.4719387755102041
Skewness,0.4910044084356011,0.5621351125938282,0.5265697605147146,0.47652805909686646
Std,0.5704504504504504,0.48144144144144146,0.4774774774774775,0.5387387387387388
Sum,0.5497674418604651,0.48976744186046517,0.5006976744186047,0.6002325581395349
Average,0.5195648276646713,0.517684712842028,0.5043554253774416,0.5361914751408032



training,2017,2018,2019,2020
val,2021
test,2022



Data Shapes
traing_data(%),71.11292962356792
Train,869
Val,167
Test,186
