rank,song_title,artist_name,score
1,サヨナラ☆ありがとう,堀田家BAND,100
2,GOUNN,ももいろクローバーZ,99
3,太陽の女神,家入レオ,98
4,もったいないとらんど,きゃりーぱみゅぱみゅ,97
5,ハート・エレキ,AKB48,96
6,君の銀の庭,Kalafina,95
7,ロックンロール,アヴリル・ラヴィーン,94
8,アプローズ,レディー・ガガ,93
9,SLY,RIP SLYME,92
10,Don't Stop The Music feat.森高千里,tofubeats,91
11,カラフル,ClariS,90
12,桜のあと(all quartets lead to the?),UNISON SQUARE GARDEN,89
13,Snow Flakes Love,塩ノ谷早耶香,88
14,冬物語,三代目 J Soul Brothers from EXILE TRIBE,87
15,都会の一人暮らし,℃-ute,86
16,ロアー〜最強ガール宣言!,ケイティ・ペリー,85
17,あとひとつ,FUNKY MONKEY BABYS,84
18,ANNIVERSARY,シド,83
19,ニュー,ポール・マッカートニー,82
20,アイナルホウエ,赤西仁,81
21,ネクスト・トゥ・ユー,ケイ,80
22,X-encounter,黒崎真音,79
23,さよなら,西野カナ,78
24,I×U,Silent Siren,77
25,恋するフォーチュンクッキー,AKB48,76
26,ドゥ・ホワット・ユー・ウォント feat.R.ケリー,レディー・ガガ,75
27,Sweet Refrain,Perfume,74
28,革命デュアリズム,水樹奈々× T.M.Revolution,73
29,雨のち晴レルヤ,ゆず,72
30,ザ・フォックス,イルヴィス,71
31,まだ涙にならない悲しみが,KinKi Kids,70
32,MUSIC,Czecho No Republic,69
33,ニブンノイチ,BACK-ON,68
34,ベスト・ソング・エヴァー,ワン・ダイレクション,67
35,Anicca,原田ひとみ,66
36,八重の風,臼澤みさき,65
37,トラブルメイカー feat.フロー・ライダー,オリー・マーズ,64
38,Heaven,Ailee,63
39,Babies are popstars,松任谷由実,62
40,ロング・タイム・ゴーン,ビリー・ジョー + ノラ,61
41,Strong Alone,kaho,60
42,ゴッホ,ドレスコーズ,59
43,"Don't Stop The Move,Keep On Dancing!!!",the telephones,58
44,ヴィーナス,レディー・ガガ,57
45,ザ・モンスター feat.リアーナ,エミネム,56
46,恋の予感,山崎あおい,55
47,僕に彼女ができたんだ,SHISHAMO,54
48,パラダイス,黒沼英之,53
49,True Blue Traveler,栗林みな実,52
50,冬がはじまるよ,槇原敬之,51
51,マネキン,ハルカトミユキ,50
52,クイーニー・アイ,ポール・マッカートニー,49
53,Change,F.cuz,48
54,熱愛発覚中,椎名林檎と中田ヤスタカ(CAPSULE),47
55,SEXY BODY,OKAMOTO'S,46
56,SAVIOR OF SONG feat.MY FIRST STORY,ナノ,45
57,アイ・スタンド・アローン feat.コモン & パトリック・スタンプ,ロバート・グラスパー・エクスペリメント,44
58,みかんハート,C & K,43
59,Bad Cat,矢沢洋子,42
60,ストーリー・オブ・マイ・ライフ,ワン・ダイレクション,41
61,クリシェ〜恋の合図はハッシュ・ハッシュ〜,アレクサンドラ・スタン,40
62,One in a million,小柳ゆき,39
63,ごめんなさいのKissing You,E-girls,38
64,夢ふうせん,おはガールちゅ!ちゅ!ちゅ!,37
65,夢がさめて,松田聖子 & クリス・ハート,36
66,DIAMOND SKIN,GLAY,35
67,ウェイク・ミー・アップ!,アヴィーチー,34
68,テイク・バック・ザ・ナイト,ジャスティン・ティンバーレイク,33
69,ア・ライト・ザット・ネヴァー・カムズ,リンキン・パーク×スティーヴ・アオキ,32
70,THE SEVEN SEAS,THE BAWDIES,31
71,ホントんとこ,TOKIO,30
72,EXILE PRIDE〜こんな世界を愛するため〜,EXILE,29
73,チョコレート,The 1975,28
74,CHANGE!!,Serena,27
75,最後の恋,松山千春,26
76,虹よ,久和田佳代,25
77,アイ・ソー・ハー・スタンディング・ゼア,ザ・ビートルズ,24
78,最後の雨,Ms.OOJA,23
79,"GOODBYE,HELLO",長澤知之,22
80,アゲアゲええじゃないか!!!,LIFriends,21
81,Remember me,くるり,20
82,境界の彼方,茅原実里,19
83,私たちは絶対に絶対にヨリを戻したりしない,テイラー・スウィフト,18
84,ウィ・オウン・ザ・ナイト,ザ・ウォンテッド,17
85,故郷のうしろ姿,キムウリョンと45トリオ,16
86,ロイヤルズ,ロード,15
87,every hero,kaho,14
88,Death Disco,SEKAI NO OWARI,13
89,リヴ・ホワイル・ウィアー・ヤング,ワン・ダイレクション,12
90,君に届け,家入レオ,11
91,わたしのうた,由紀さおり,10
92,ボンファイアー・ハート,ジェイムス・ブラント,9
93,木枯しに抱かれて,小泉今日子,8
94,Golden Time,堀江由衣,7
95,1.2.step to you,KANA-BOON,6
96,桔梗が丘,平井堅,5
97,守ってあげたい,ゆず,4
98,河内おんなのバラッド,浅田あつこ,3
99,ティンバー feat.ケシャ,ピットブル,2
100,いつか君が,ももいろクローバーZ,1
