アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
遊助,ひまわり,99,https://open.spotify.com/track/0ZHznXIlbX6V9jwuXucnR5,43,52
Utada,Come Back To Me,98,https://open.spotify.com/track/0I3FExqLWpRlxzrBT5jXew,44,15
コブクロ,虹,96,https://open.spotify.com/track/65s429OH7QjAFj9s6sw5X1,58,32
GReeeeN,刹那,95,https://open.spotify.com/track/35AHGvffAVAbiIkG0AirrO,61,49
たむらぱん,ちゃりんこ,94,https://open.spotify.com/track/1WPG2hcsUPdx0T6RleD6nl,12,7
嵐,Believe,93,https://open.spotify.com/track/2vXuVpGXqIXF6KB2jeWhXI,65,49
清竜人,Morning Sun,92,https://open.spotify.com/track/4iM2FeTuMSyioXarNpMDxG,34,19
レミオロメン,Sakura,91,https://open.spotify.com/track/5qhtBu2H14kFTwlFfQTUoI,51,39
Perfume,ワンルーム・ディスコ,88,https://open.spotify.com/track/4SDovUYiPB21YBBicEKJlJ,57,29
ROCK'A'TRENCH,My SunShine,87,https://open.spotify.com/track/5AplfXQJgaj3lsGj1ShWAW,32,49
真野恵里菜,乙女の祈り,84,https://open.spotify.com/track/592eCrJ8nCpMlDm0ealg1s,10,1
傳田真央,Bitter Sweet,80,https://open.spotify.com/track/43IXvQdubHjhzayGFF0hT3,25,31
絢香,夢を味方に,79,https://open.spotify.com/track/643H2JKRxf7Rnok0GYBtz1,55,34
VAMPS,I GOTTA KICK START NOW,76,https://open.spotify.com/track/3knGr0ordmy1bY81sBoKNd,37,18
いきものがかり,クラシック,74,https://open.spotify.com/track/7tbD3Td0VjBbisfRwRROM6,63,25
YUKI,ランデヴー,72,https://open.spotify.com/track/6T4V7p7PtNKRpQTDRbscrs,44,34
Chicago Poodle,ODYSSEY,71,https://open.spotify.com/track/38d2HLWQREU5H6UWXklGVN,16,12
エレファントカシマシ,絆,70,https://open.spotify.com/track/22Br80avmOl9zcQms60MCe,51,15
RADWIMPS,おしゃかしゃま,69,https://open.spotify.com/track/39oAp7sfaU9PDaraVLD31O,74,59
FUNKY MONKEY BABYS,桜,67,https://open.spotify.com/track/3im6vIMyAfRk7c9zijpkjV,53,45
GLAY,春までは,65,https://open.spotify.com/track/1Yx35CT1dxNGBVvCAcRtR8,56,13
福山雅治,桜坂,64,https://open.spotify.com/track/7gpVG8fQjh5YLViIWy3HHh,55,56
PENGIN,春春春,63,https://open.spotify.com/track/0W1wkJAdxsYAMcwENntsTM,29,18
100s,そりゃそうだ,60,https://open.spotify.com/track/6BdlmWKmdVFj0er4xaEgg4,18,10
サスケ,青いベンチ,59,https://open.spotify.com/track/2cVgkzUdQrb3sAP3w9YwJv,41,52
ケツメイシ,さくら,57,https://open.spotify.com/track/5rfUCmoI7axj6mjpu1Rto5,56,58
松任谷由実,まずはどこへ行こう,56,https://open.spotify.com/track/3dayj5BGwmNHKfNUZgWZCz,58,12
ノースリーブス,タネ,55,https://open.spotify.com/track/1YC55L1dXyTOsDvUwkoGIt,24,17
コブクロ,桜,51,https://open.spotify.com/track/5Hi4IAtdFZzg6IfAVMd6lZ,58,61
長渕剛,卒業,50,https://open.spotify.com/track/4t8z2k0zozHRstIHUaTAOm,52,16
浜崎あゆみ,Rule,49,https://open.spotify.com/track/0q6ynl2SPq91rc8YD1LSXA,61,29
aiko,milk,47,https://open.spotify.com/track/5BDh3j6kCJUmzUpSh0ESVZ,62,46
風味堂,大切にするからね,46,https://open.spotify.com/track/7hig46NWnJSCtXiXZaUxGB,25,18
DREAMS COME TRUE,GOOD BYE MY SCHOOL DAYS,45,https://open.spotify.com/track/5ZOM8Xpp6ktcgXzEbQ68Uu,60,14
BoA,永遠,44,https://open.spotify.com/track/104yjVsAOGHnYEKmYEjNAI,55,36
ゆず,逢いたい,43,https://open.spotify.com/track/4EC7OpL3Rtwtkt4bzEBpsG,56,34
馬場俊英,世界中のアンサー,42,https://open.spotify.com/track/77BmC4UaVuLqL5ckrflgAa,21,4
九州男,桜道,39,https://open.spotify.com/track/3BZ8r7clQnGeF7FsggzgyZ,40,13
KREVA,成功,37,https://open.spotify.com/track/75e6IZjabTifXpMTy6nPzo,45,15
秋元順子,愛のままで…,36,https://open.spotify.com/track/6WjmLWvLcUm9kwThhFfatB,31,37
JUJU,やさしさで溢れるように,35,https://open.spotify.com/track/4zdXDTExh06duqfnyhNx6S,53,50
柴咲コウ,大切にするよ,33,https://open.spotify.com/track/4UF3JsmwjkCzuaP3zCribq,46,30
吉井和哉,ビルマニア,32,https://open.spotify.com/track/51fYrC368brPSmaj1f2rgU,40,23
植村花菜,BLESS,30,https://open.spotify.com/track/5r4NmkbmYP38odKjwsyRvx,25,2
