アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
いきものがかり,YELL,100,https://open.spotify.com/track/4NmzMLuyfuF9UpzjbhSiwl,63,55,./downloaded_mp3/いきものがかり_YELL.mp3
TOKYO NO.1 SOUL SET + HALCALI,今夜はブギー・バック,97,https://open.spotify.com/track/7EmYLgRlPsIuxr2pKZPtA3,24,33,./downloaded_mp3/TOKYO NO.1 SOUL SET + HALCALI_今夜はブギー・バック.mp3
Hilcrhyme,春夏秋冬,95,https://open.spotify.com/track/6WYirtXQjDJpCQkv4XTBxY,51,59,./downloaded_mp3/ヒルクライム_春夏秋冬.mp3
絢香,みんな空の下,93,https://open.spotify.com/track/5jc5WQlrri3B5MkLByPsuv,55,57,./downloaded_mp3/絢香_みんな空の下.mp3
B'z,イチブトゼンブ,91,https://open.spotify.com/track/2X0pcKFdtkbjKxtZlyZCkZ,66,50,./downloaded_mp3/B'z_イチブトゼンブ.mp3
mihimaru GT,アンロック,87,https://open.spotify.com/track/03ZHNm23lakRPSeXzyrnqf,45,15,./downloaded_mp3/mihimaru GT_アンロック.mp3
菅原紗由理,あの日の約束,85,https://open.spotify.com/track/6W05TWWpLWIL8i0PmtfQTU,36,22,./downloaded_mp3/菅原紗由理_あの日の約束.mp3
Every Little Thing,DREAM GOES ON,84,https://open.spotify.com/track/50H4x5tWxztqYVzxkLLHkw,56,8,./downloaded_mp3/Every Little Thing_DREAM GOES ON.mp3
アンジェラ・アキ,愛の季節,83,https://open.spotify.com/track/3eBcCMKXntanadS803NvsQ,43,29,./downloaded_mp3/アンジェラ・アキ_愛の季節.mp3
さかいゆう,ストーリー,82,https://open.spotify.com/track/7qhDgkhFcrFSRWVkqGuI60,33,16,./downloaded_mp3/さかいゆう_ストーリー.mp3
BEAT CRUSADERS,LET IT GO,81,https://open.spotify.com/track/1HIdB79IDx8pFdpxzCPGfw,40,10,./downloaded_mp3/BEAT CRUSADERS_LET IT GO.mp3
いきものがかり,じょいふる,80,https://open.spotify.com/track/5TMjgmcrfoscvd75Nlvgb7,63,52,./downloaded_mp3/いきものがかり_じょいふる.mp3
ゆず,虹,73,https://open.spotify.com/track/1auxo0MzUgjI6tre1PZYIw,56,46,./downloaded_mp3/ゆず_虹.mp3
倖田來未,Alive,69,https://open.spotify.com/track/76tJIh9eAc67ZldMYkruGT,56,18,./downloaded_mp3/倖田來未_Alive.mp3
D.W.ニコルズ,マイライフストーリー,66,https://open.spotify.com/track/5pJN5Hz7s8gHqGPZPiMBk2,21,2,./downloaded_mp3/D.W.ニコルズ_マイライフストーリー.mp3
B'z,MY LONELY TOWN,64,https://open.spotify.com/track/6vHXMEBFbiNbsDp5Je3mKp,66,42,./downloaded_mp3/B'z_MY LONELY TOWN.mp3
スキマスイッチ,ゴールデンタイムラバー,63,https://open.spotify.com/track/1PGCzcLCqV1yu9M3FmxKlu,61,53,./downloaded_mp3/スキマスイッチ_ゴールデンタイムラバー.mp3
Chicago Poodle,さよならベイベー,53,https://open.spotify.com/track/0Qo3O2eHtEstkUHbAg4zhK,16,7,./downloaded_mp3/Chicago Poodle_さよならベイベー.mp3
Aqua Timez,最後まで,51,https://open.spotify.com/track/7CxHoZ4Zcgi2H9LYqSnAly,53,16,./downloaded_mp3/Aqua Timez_最後まで.mp3
PUSHIM,My Endless Love,50,https://open.spotify.com/track/6B1NWopkhLMX3V0VTk5jL5,40,16,./downloaded_mp3/PUSHIM_My Endless Love.mp3
YUI,It's all too much,49,https://open.spotify.com/track/6XTxPy4Xpf0pXrkfxv7zim,57,17,./downloaded_mp3/YUI_It's all too much.mp3
Cocco,絹ずれ,46,https://open.spotify.com/track/6L0atiuUJKCmcbA74n8o3k,40,6,./downloaded_mp3/Cocco_絹ずれ.mp3
スネオヘアー,ロデオ,45,https://open.spotify.com/track/7z4KC5O4FCUC21qATzb0I2,28,4,./downloaded_mp3/スネオヘアー_ロデオ.mp3
フラワーカンパニーズ,深夜高速,44,https://open.spotify.com/track/60LhFAqVgKazNwYQD1O3kS,38,50,./downloaded_mp3/フラワーカンパニーズ_深夜高速.mp3
ポルノグラフィティ,この胸を、愛を射よ,42,https://open.spotify.com/track/32sSbaRyvkY0xzAeIdQ1mr,62,20,./downloaded_mp3/ポルノグラフィティ_この胸を、愛を射よ.mp3
絢香,三日月,41,https://open.spotify.com/track/5SDVaYU4nfaIV0rNSlWSCa,55,62,./downloaded_mp3/絢香_三日月.mp3
Superfly,恋する瞳は美しい,40,https://open.spotify.com/track/6gr6qFSopulsD7b27wQPzC,59,31,./downloaded_mp3/Superfly_恋する瞳は美しい.mp3
JAY'ED,Everybody,35,https://open.spotify.com/track/0GQuDSiQdagMWRHgqHjx5D,48,21,./downloaded_mp3/JAY'ED_Everybody.mp3
