アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
ＥＴ−ＫＩＮＧ,晴レルヤ,89,https://open.spotify.com/track/1IfjNzzMnszOiiC9GreVBH,43,24,./downloaded_mp3/ＥＴ−ＫＩＮＧ_晴レルヤ.mp3
大橋　卓弥,はじまりの歌,88,https://open.spotify.com/track/5lmFKtTHZ8xTNTSTaOefE4,31,27,./downloaded_mp3/大橋　卓弥_はじまりの歌.mp3
ケツメイシ,出会いのかけら,86,https://open.spotify.com/track/6doG5A9BRiQjWEsyBtkkSF,57,44,./downloaded_mp3/ケツメイシ_出会いのかけら.mp3
ＲＡＧ　ＦＡＩＲ,早春ラプソディ,85,https://open.spotify.com/track/6JdnNhnSA2vzUDfMyLSfwu,20,3,./downloaded_mp3/ＲＡＧ　ＦＡＩＲ_早春ラプソディ.mp3
Ｓｕｐｅｒｆｌｙ,愛をこめて花束を,76,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,59,71,./downloaded_mp3/Superfly_愛をこめて花束を.mp3
ＨＯＭＥ　ＭＡＤＥ　家族,おぼえてる。,73,https://open.spotify.com/track/6xvVaMJqdawujDS4MkG4Dv,44,19,./downloaded_mp3/ＨＯＭＥ　ＭＡＤＥ　家族_おぼえてる。.mp3
ゆず,ストーリー,69,https://open.spotify.com/track/2uc6vCYdbML7v2wMX7yyds,56,29,./downloaded_mp3/ゆず_ストーリー.mp3
ＲＡＤＷＩＭＰＳ,オーダーメイド,60,https://open.spotify.com/track/1WxQyR4cVfBMbwldZ0vNGn,75,49,./downloaded_mp3/ＲＡＤＷＩＭＰＳ_オーダーメイド.mp3
ASIAN KUNG-FU GENERATION,転がる岩、君に朝が降る,19,https://open.spotify.com/track/33cvF54sRDtyflQJJ4fjbb,61,52,./downloaded_mp3/ASIAN KUNG-FU GENERATION_転がる岩、君に朝が降る.mp3
瀬口　侑希,幸せになってね,18,https://open.spotify.com/track/5q1drrfc2rhIVlsPUxptBq,9,0,./downloaded_mp3/瀬口　侑希_幸せになってね.mp3
海老沢　タケヲ,ハルクル,15,https://open.spotify.com/track/5AI3Jg9ZfcMzfaenkylbaH,0,0,./downloaded_mp3/海老沢　タケヲ_ハルクル.mp3
ＣＯＬＯＲ,君のいない道,7,https://open.spotify.com/track/1jOLRY5kqTzEHbZSpMPwcS,31,27,./downloaded_mp3/ＣＯＬＯＲ_君のいない道.mp3
