Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
ケツメイシ,出会いのかけら,https://open.spotify.com/track/6doG5A9BRiQjWEsyBtkkSF,./downloaded_mp3/ケツメイシ_出会いのかけら.mp3,100,100,77.0,23.83,8,616,-0.75,-0.97
ＲＡＤＷＩＭＰＳ,オーダーメイド,https://open.spotify.com/track/1WxQyR4cVfBMbwldZ0vNGn,./downloaded_mp3/ＲＡＤＷＩＭＰＳ_オーダーメイド.mp3,98,98,64.0,30.59,7,448,-0.56,-1.07
ＯＮＥ☆ＤＲＡＦＴ,一歩一歩〜終わりなき道しるべ〜,https://open.spotify.com/track/0O4h2EX4nmCxnM2QYWcL1X,./downloaded_mp3/ＯＮＥ☆ＤＲＡＦＴ_一歩一歩〜終わりなき道しるべ〜.mp3,89,89,48.0,30.14,4,192,0.37,-1.89
Ｓｕｐｅｒｆｌｙ,愛をこめて花束を,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,./downloaded_mp3/Superfly_愛をこめて花束を.mp3,87,94,28.77,24.19,102,2935,0.97,-0.04
大橋　卓弥,はじまりの歌,https://open.spotify.com/track/5lmFKtTHZ8xTNTSTaOefE4,./downloaded_mp3/大橋　卓弥_はじまりの歌.mp3,72,97,69.2,25.65,10,692,-1.12,0.12
中ノ森ＢＡＮＤ,風になりたい,https://open.spotify.com/track/2drxMvHdEqlXAER7BtuY8t,./downloaded_mp3/中ノ森ＢＡＮＤ_風になりたい.mp3,70,70,47.33,19.66,3,142,0.38,-2.33
奥　華子,手紙,https://open.spotify.com/track/5PRnczMFS4WcHfAXNnTD43,./downloaded_mp3/奥　華子_手紙.mp3,66,66,46.0,20.52,3,138,-0.05,-2.33
ＨＯＭＥ　ＭＡＤＥ　家族,おぼえてる。,https://open.spotify.com/track/6xvVaMJqdawujDS4MkG4Dv,./downloaded_mp3/ＨＯＭＥ　ＭＡＤＥ　家族_おぼえてる。.mp3,62,95,69.5,19.84,4,278,0.2,-1.97
一青　窈,受け入れて,https://open.spotify.com/track/6yVNJXPKDf7rjRR3ni75UV,./downloaded_mp3/一青　窈_受け入れて.mp3,56,87,65.0,19.16,3,195,0.37,-2.33
ゆず,ストーリー,https://open.spotify.com/track/2uc6vCYdbML7v2wMX7yyds,./downloaded_mp3/ゆず_ストーリー.mp3,42,98,57.0,27.84,11,627,-0.37,-1.14
ASIAN KUNG-FU GENERATION,転がる岩、君に朝が降る,https://open.spotify.com/track/33cvF54sRDtyflQJJ4fjbb,./downloaded_mp3/ASIAN KUNG-FU GENERATION_転がる岩、君に朝が降る.mp3,35,96,46.33,31.19,9,417,0.42,-1.64
チャットモンチー,ヒラヒラヒラク秘密ノ扉,https://open.spotify.com/track/5x4CTZqqmcKnxSevz56bwL,./downloaded_mp3/チャットモンチー_ヒラヒラヒラク秘密ノ扉.mp3,30,92,49.57,29.03,7,347,-0.01,-1.42
絢香,手をつなごう,https://open.spotify.com/track/1QoCVPSbayKifYbYIVDMV6,./downloaded_mp3/絢香_手をつなごう.mp3,27,99,54.42,27.76,12,653,0.18,-1.59
ＣＯＬＯＲ,君のいない道,https://open.spotify.com/track/1jOLRY5kqTzEHbZSpMPwcS,./downloaded_mp3/ＣＯＬＯＲ_君のいない道.mp3,26,26,16.0,9.54,3,48,0.1,-2.33
瀬口　侑希,幸せになってね,https://open.spotify.com/track/5q1drrfc2rhIVlsPUxptBq,./downloaded_mp3/瀬口　侑希_幸せになってね.mp3,25,25,17.33,8.02,3,52,-0.08,-2.33
ＥＴ−ＫＩＮＧ,晴レルヤ,https://open.spotify.com/track/1IfjNzzMnszOiiC9GreVBH,./downloaded_mp3/ＥＴ−ＫＩＮＧ_晴レルヤ.mp3,17,89,56.33,36.46,3,169,-0.18,-2.33
海老沢　タケヲ,ハルクル,https://open.spotify.com/track/5AI3Jg9ZfcMzfaenkylbaH,./downloaded_mp3/海老沢　タケヲ_ハルクル.mp3,14,16,15.0,1.0,3,45,0.0,-2.33
レミオロメン,粉雪,https://open.spotify.com/track/1Vimcaq6kgTq6xgHSnr4pS,./downloaded_mp3/レミオロメン_粉雪.mp3,8,51,23.49,15.8,39,916,0.28,-1.3
ＲＡＧ　ＦＡＩＲ,早春ラプソディ,https://open.spotify.com/track/6JdnNhnSA2vzUDfMyLSfwu,./downloaded_mp3/ＲＡＧ　ＦＡＩＲ_早春ラプソディ.mp3,6,85,32.33,45.61,3,97,0.38,-2.33
ジェロ,海雪,https://open.spotify.com/track/3rdp0EkfQjGc2z7zXjBQIb,./downloaded_mp3/ジェロ_海雪.mp3,92,92,60.77,21.57,13,790,0.01,-1.59
湘南乃風,黄金魂,https://open.spotify.com/track/5vzcqUy99JOsCvKeKmf0TG,./downloaded_mp3/湘南乃風_黄金魂.mp3,90,96,55.43,30.72,7,388,0.2,-1.97
キマグレン,あえないウタ,https://open.spotify.com/track/0UDOkZk0HkBBOqmqkNcuYd,./downloaded_mp3/キマグレン_あえないウタ.mp3,89,89,49.8,32.38,5,249,0.01,-2.04
NICO Touches the Walls,夜の果て,https://open.spotify.com/track/74gubSJL2HiW7l4jxKQb7q,./downloaded_mp3/NICO Touches the Walls_夜の果て.mp3,88,88,66.0,24.21,5,330,-0.41,-1.9
オトナモード,風になって,https://open.spotify.com/track/1pWSKx66yoXUzlVI2au8QB,./downloaded_mp3/オトナモード_風になって.mp3,86,95,84.8,9.09,5,424,-0.05,-2.16
ポルノグラフィティ,あなたがここにいたら,https://open.spotify.com/track/0EwCuOSVBnIpnLs9uAR72u,./downloaded_mp3/ポルノグラフィティ_あなたがここにいたら.mp3,81,100,63.8,34.14,5,319,-0.52,-1.5
ａｉｋｏ,二人,https://open.spotify.com/track/28dkaG14rPVPoNLPYJRBDW,./downloaded_mp3/aiko_二人.mp3,64,97,69.5,20.93,12,834,-0.87,-0.15
Every Little Thing,サクラビト,https://open.spotify.com/track/6dA8Vp3K67m9VYVFurMJId,./downloaded_mp3/Every Little Thing_サクラビト.mp3,60,93,49.6,29.19,5,248,0.32,-1.65
天童　よしみ,幸せはすぐそこに…,https://open.spotify.com/track/5NLbVHJUfOmd4gmawth9Rz,./downloaded_mp3/天童よしみ_幸せはすぐそこに….mp3,45,56,32.75,16.02,8,262,-0.16,-1.54
すぎもとまさと,吾亦紅,https://open.spotify.com/track/0QHRhrl6BDiGwppFlcVSlN,./downloaded_mp3/すぎもとまさと_吾亦紅.mp3,10,59,24.73,19.99,11,272,0.58,-1.23
NEWS,太陽のナミダ,https://open.spotify.com/track/26Y5Q1kRyKGqjfhilwR4pq,./downloaded_mp3/NEWS_太陽のナミダ.mp3,100,100,68.8,35.22,5,344,-0.43,-1.85
EXILE,Pure,https://open.spotify.com/track/4i2mHCOkZi3sZSDekVxwTj,./downloaded_mp3/EXILE_Pure.mp3,99,99,75.5,26.4,4,302,-0.31,-2.06
YUI,Namidairo,https://open.spotify.com/track/2g3gBvIRMyYSmaQFDNLutE,./downloaded_mp3/YUI_Namidairo.mp3,98,98,64.25,39.09,4,257,-0.37,-2.02
清水翔太,HOME,https://open.spotify.com/track/3zQtfqcTwgaz8zV4HJak7m,./downloaded_mp3/清水翔太_HOME.mp3,97,97,63.44,27.18,9,571,-0.4,-1.09
宇多田ヒカル,HEART STATION,https://open.spotify.com/track/4XxGTwKkbYkIfBQG7JyNVh,./downloaded_mp3/宇多田ヒカル_HEART STATION.mp3,96,96,54.25,28.19,8,434,0.3,-1.85
BoA,be with you.,https://open.spotify.com/track/7usZwZytGina9iTXSx6RLz,./downloaded_mp3/BoA_be with you..mp3,93,93,57.67,38.89,3,173,-0.16,-2.33
嵐,Step and Go,https://open.spotify.com/track/7kp6sxHL7YcjbEwDvcSvYj,./downloaded_mp3/嵐_Step and Go.mp3,90,90,53.0,39.01,4,212,-0.26,-2.09
加藤ミリヤ,19 Memories,https://open.spotify.com/track/7uy2vSHBES9o1zPoyazMf7,./downloaded_mp3/加藤ミリヤ_19 Memories.mp3,84,84,40.0,28.23,7,280,0.13,-1.52
BENNIE K,モノクローム,https://open.spotify.com/track/1J1Bn4IC6NKwhWBvdBNbMt,./downloaded_mp3/BENNIE K_モノクローム.mp3,79,79,43.0,35.51,3,129,0.03,-2.33
木山裕策,home,https://open.spotify.com/track/4Zfk15eeUW2Fi8dubC93BG,./downloaded_mp3/木山裕策_home.mp3,60,64,26.88,23.62,8,215,0.6,-1.56
桑田佳祐,DEAR MY FRIEND,https://open.spotify.com/track/03LRwZHdLJZvrfzdZCEnR5,./downloaded_mp3/桑田佳祐_DEAR MY FRIEND.mp3,53,95,61.14,31.76,7,428,-0.04,-2.02
氷川きよし,玄海船歌,https://open.spotify.com/track/1zmo6DaTYcw7X4yv5BkC38,./downloaded_mp3/氷川きよし_玄海船歌.mp3,48,48,31.0,19.78,4,124,-0.52,-1.84
ナイス橋本,マイ★フレンド,https://open.spotify.com/track/4pGHS5HB9Rda2PdkMETfV8,./downloaded_mp3/ナイス橋本_マイ★フレンド.mp3,47,87,56.5,23.74,4,226,0.21,-1.98
木村カエラ,Jasper,https://open.spotify.com/track/0bkiYgWXdG8syPsm6j2Hcd,./downloaded_mp3/木村カエラ_Jasper.mp3,38,38,19.67,18.5,3,59,-0.02,-2.33
SOTTE BOSSE,ひらり,https://open.spotify.com/track/3gl0yP9NwTAFwhq7qoW7HM,./downloaded_mp3/SOTTE BOSSE_ひらり.mp3,19,74,46.33,27.5,3,139,0.01,-2.33
KREVA,あかさたなはまやらわをん,https://open.spotify.com/track/3eIV8k6jvG0vSvUG4IHZku,./downloaded_mp3/KREVA_あかさたなはまやらわをん.mp3,12,72,31.67,34.93,3,95,0.38,-2.33
GReeeeN,旅立ち,https://open.spotify.com/track/54ZRuHMrlqk83ddZX1BBO8,./downloaded_mp3/GReeeeN_旅立ち.mp3,78,78,42.5,29.73,4,170,0.16,-2.24
一青窈,空中ブランコ,https://open.spotify.com/track/0teB42jp1nrk4szYs8xGu7,./downloaded_mp3/一青窈_空中ブランコ.mp3,67,67,40.0,29.21,3,120,-0.13,-2.33
レミオロメン,3月9日,https://open.spotify.com/track/31rf3jLBMfnrqLuTPrcxM5,./downloaded_mp3/レミオロメン_3月9日.mp3,56,96,51.45,24.72,69,3550,0.04,-1.05
THE ALFEE,Lifetime Love,https://open.spotify.com/track/2GeRUdQCrXNzDfmXhaXAMW,./downloaded_mp3/THE ALFEE_Lifetime Love.mp3,52,94,62.5,21.02,4,250,0.75,-1.69
鶴,恋のゴング,https://open.spotify.com/track/1ygBuxr0wNo7UBnwUPE8hr,./downloaded_mp3/鶴_恋のゴング.mp3,37,88,57.2,27.22,5,286,0.01,-2.1
山崎まさよし,真夜中のBoon Boon,https://open.spotify.com/track/3AnGut9MM2la1wXkDtGpBz,./downloaded_mp3/山崎まさよし_真夜中のBoon Boon.mp3,16,86,53.33,35.23,3,160,-0.13,-2.33
The Gospellers,青い鳥,https://open.spotify.com/track/4c7hgoL7DMUqL6oUxD6UPV,./downloaded_mp3/The Gospellers_青い鳥.mp3,3,92,54.67,46.2,3,164,-0.28,-2.33
YUI,Laugh away,https://open.spotify.com/track/4vaEjUmTh0M8BQW9OLciie,./downloaded_mp3/YUI_Laugh away.mp3,72,96,65.5,31.0,10,655,-0.84,-0.75
FUNKY MONKEY BABYS,旅立ち,https://open.spotify.com/track/3i10BgSE1GZkHGwU8nAGrb,./downloaded_mp3/FUNKY MONKEY BABYS_旅立ち.mp3,27,99,65.33,27.31,6,392,-0.06,-1.77
秦基博,キミ、メグル、ボク,https://open.spotify.com/track/4JMGg6b9HEv6wVzWHcTEIC,./downloaded_mp3/秦基博_キミ、メグル、ボク.mp3,15,99,57.8,25.42,10,578,0.06,-1.18
東京スカパラダイスオーケストラ,Pride Of Lions,https://open.spotify.com/track/5Op8DvZ2SIZRxmrZojEA3E,./downloaded_mp3/東京スカパラダイスオーケストラ_Pride Of Lions.mp3,46,74,48.67,24.11,3,146,0.11,-2.33
ケツメイシ,さくら,https://open.spotify.com/track/5rfUCmoI7axj6mjpu1Rto5,./downloaded_mp3/ケツメイシ_さくら.mp3,37,92,48.33,24.76,63,3045,-0.1,-1.11
大橋卓弥,ありがとう,https://open.spotify.com/track/7vgvfXICUyLXzgtGBP5Y6Z,./downloaded_mp3/大橋卓弥_ありがとう.mp3,24,98,65.86,26.5,7,461,-0.37,-1.59
青山テルマ,DIARY,https://open.spotify.com/track/2fp00RRqYtsM6oPIPZXwuf,./downloaded_mp3/青山テルマ_DIARY.mp3,17,78,52.67,31.79,3,158,-0.29,-2.33
福山雅治,桜坂,https://open.spotify.com/track/7gpVG8fQjh5YLViIWy3HHh,./downloaded_mp3/福山雅治_桜坂.mp3,15,80,38.03,22.19,32,1217,0.06,-1.34
mihimaru GT,ギリギリHERO,https://open.spotify.com/track/0VC6aq6SPlVF6yndtROkYX,./downloaded_mp3/mihimaru GT_ギリギリHERO.mp3,6,99,50.92,34.44,12,611,-0.16,-1.69
コブクロ,桜,https://open.spotify.com/track/5Hi4IAtdFZzg6IfAVMd6lZ,./downloaded_mp3/コブクロ_桜.mp3,2,74,26.94,23.37,16,431,0.7,-0.93
アンジェラ・アキ,サクラ色,https://open.spotify.com/track/57PpA1195p6p2K7VyoCVam,./downloaded_mp3/アンジェラ・アキ_サクラ色.mp3,1,30,15.29,12.7,7,107,0.01,-2.05
羞恥心,羞恥心,https://open.spotify.com/track/770OfNzKAmIB086QKEZ0Lz,./downloaded_mp3/羞恥心_羞恥心.mp3,98,100,66.92,34.17,12,803,-0.65,-1.17
福原美穂,CHANGE,https://open.spotify.com/track/5smRsgqPRflhCBBOZaZztL,./downloaded_mp3/福原美穂_CHANGE.mp3,97,97,80.29,21.15,7,562,-0.69,-1.5
坂本真綾,トライアングラー,https://open.spotify.com/track/7dLS9A8CcWmL3cB6Rv8grW,./downloaded_mp3/坂本真綾_トライアングラー.mp3,96,96,68.5,18.91,4,274,0.61,-1.76
Superfly,Hi-Five,https://open.spotify.com/track/1w2yONa3yfqAHyY5tqFosU,./downloaded_mp3/Superfly_Hi-Five.mp3,94,94,71.45,17.0,11,786,-0.68,-0.38
Monkey Majik,Together,https://open.spotify.com/track/4DlEx7AcUuk06asFEgg3xe,./downloaded_mp3/Monkey Majik_Together.mp3,90,93,62.11,29.83,9,559,-0.67,-1.18
いきものがかり,帰りたくなったよ,https://open.spotify.com/track/1XeXsv2fN21KzHca8UuGS6,./downloaded_mp3/いきものがかり_帰りたくなったよ.mp3,87,95,57.67,32.79,9,519,-0.38,-1.67
平井堅,いつか離れる日が来ても,https://open.spotify.com/track/0kgORa2rsvTVbFXgSEe2Yu,./downloaded_mp3/平井堅_いつか離れる日が来ても.mp3,84,84,47.83,30.14,6,287,-0.09,-1.91
多和田えみ,Naturally,https://open.spotify.com/track/2RkRGY22SW8oSxMfwxSXvI,./downloaded_mp3/多和田えみ_Naturally.mp3,82,82,56.67,30.16,6,340,-0.87,-0.92
西野カナ,glowly days,https://open.spotify.com/track/05qH9v7CCY8LGmcYlQVBFL,./downloaded_mp3/西野カナ_glowly days.mp3,79,79,45.67,34.56,3,137,-0.07,-2.33
BENNIE K,チャクラ,https://open.spotify.com/track/1ociWoTtlakQENuBLUQWfb,./downloaded_mp3/BENNIE K_チャクラ.mp3,74,74,53.5,17.14,4,214,0.15,-2.21
MISIA,Yes Forever,https://open.spotify.com/track/46AZQ6sqFu9BHfZW8Fczsc,./downloaded_mp3/MISIA_Yes Forever.mp3,69,97,62.2,32.28,5,311,-0.52,-1.45
絢香,おかえり,https://open.spotify.com/track/1aEJTljLDeDeQgxtQHrhmz,./downloaded_mp3/絢香_おかえり.mp3,68,98,60.0,27.78,14,840,-0.11,-1.41
YUKI,汽車に乗って,https://open.spotify.com/track/5snUlbYZ7UpQjkaIyr2yur,./downloaded_mp3/YUKI_汽車に乗って.mp3,67,92,57.6,21.87,5,288,0.61,-1.65
浜崎あゆみ,Mirrorcle World,https://open.spotify.com/track/4eZQhTBIu2n3zto5tXiq6C,./downloaded_mp3/浜崎あゆみ_Mirrorcle World.mp3,63,99,62.4,29.74,5,312,0.06,-2.1
Perfume,ポリリズム,https://open.spotify.com/track/4Eyrl29TD7ssLcAKWzwsso,./downloaded_mp3/Perfume_ポリリズム.mp3,62,62,29.67,24.35,6,178,0.12,-1.9
Aqua Timez,虹,https://open.spotify.com/track/4xSh6jogaOSkWjASpxFSdp,./downloaded_mp3/Aqua Timez_虹.mp3,61,99,64.0,35.19,14,896,-0.66,-1.25
HOME MADE 家族,EASY WALK,https://open.spotify.com/track/6cpYzs7NklT3LbFdA9FIkD,./downloaded_mp3/HOME MADE 家族_EASY WALK.mp3,58,92,65.0,18.13,4,260,0.72,-1.71
GReeeeN,キセキ,https://open.spotify.com/track/2bzdhN6Y5AP1zRRf12QwJq,./downloaded_mp3/GReeeeN_キセキ.mp3,54,100,40.64,28.69,106,4308,0.57,-0.87
宇多田ヒカル,Prisoner Of Love,https://open.spotify.com/track/4a9xOJC6kgknv7cU4D99Ha,./downloaded_mp3/宇多田ヒカル_Prisoner Of Love.mp3,47,99,69.09,27.87,11,760,-0.89,-0.4
平原綾香,孤独の向こう,https://open.spotify.com/track/136eBLeDHJwt3HurnBGbi2,./downloaded_mp3/平原綾香_孤独の向こう.mp3,46,83,50.67,30.27,3,152,0.15,-2.33
スガシカオ,NOBODY KNOWS,https://open.spotify.com/track/34SZP6DAcclRn88LspsVyh,./downloaded_mp3/スガシカオ_NOBODY KNOWS.mp3,38,96,66.25,22.52,8,530,-0.15,-1.71
BENNIE K,Dreamland,https://open.spotify.com/track/7zl3tvTJCkGQjIk1EHdSgM,./downloaded_mp3/BENNIE K_Dreamland.mp3,37,37,27.67,9.5,3,83,-0.04,-2.33
竹内まりや,幸せのものさし,https://open.spotify.com/track/1g0STNvKUEKK6xSFOcZKVR,./downloaded_mp3/竹内まりや_幸せのものさし.mp3,32,98,55.56,31.41,9,500,-0.1,-1.48
ACIDMAN,FREE STAR,https://open.spotify.com/track/3Smd7KmhZEsoloLcQHALPl,./downloaded_mp3/ACIDMAN_FREE STAR.mp3,29,49,28.0,21.52,3,84,-0.05,-2.33
ZARD,翼を広げて,https://open.spotify.com/track/6rqejjcfbRUSQ0WXhV2bg6,./downloaded_mp3/ZARD_翼を広げて.mp3,26,95,65.33,35.5,3,196,-0.25,-2.33
水森かおり,輪島朝市,https://open.spotify.com/track/1wD9wndxkyX0iGGaYhyWbb,./downloaded_mp3/水森かおり_輪島朝市.mp3,17,85,50.25,27.78,4,201,0.06,-1.87
中孝介,春,https://open.spotify.com/track/7pIQcb7AdJU1iJoYv2lNsz,./downloaded_mp3/中孝介_春.mp3,13,91,55.33,29.84,6,332,-0.22,-1.83
キマグレン,LIFE,https://open.spotify.com/track/0OteDMairtABHrHUHjuAK1,./downloaded_mp3/キマグレン_LIFE.mp3,10,99,56.39,34.08,38,2143,-0.27,-1.55
SEAMO,MOTHER,https://open.spotify.com/track/45KeRxQiU1cHUFJrhnl1rw,./downloaded_mp3/SEAMO_MOTHER.mp3,4,98,45.5,32.61,12,546,0.15,-1.63
徳永英明,抱きしめてあげる,https://open.spotify.com/track/2fHmwN3nk68J3U8NhmiKgj,./downloaded_mp3/徳永英明_抱きしめてあげる.mp3,1,87,39.0,39.86,4,156,0.16,-2.21
20th Century,オレじゃなきゃ、キミじゃなきゃ,https://open.spotify.com/track/7gTIrtpXSSbb8zaXzTCCnq,./downloaded_mp3/20th Century_オレじゃなきゃ、キミじゃなきゃ.mp3,97,97,59.0,40.73,3,177,-0.12,-2.33
木村カエラ,STARs,https://open.spotify.com/track/0diut1B1jnZQkAOhih4iqf,./downloaded_mp3/木村カエラ_STARs.mp3,50,75,56.25,15.39,4,225,0.09,-2.05
aiko,桜の時,https://open.spotify.com/track/2CukFFswRZixS0AMkdMHSk,./downloaded_mp3/aiko_桜の時.mp3,19,78,38.47,23.15,19,731,-0.0,-1.48
YUI,CHE.R.RY,https://open.spotify.com/track/6PBBGlTEVfUyfnmemrnhbp,./downloaded_mp3/YUI_CHE.R.RY.mp3,18,63,33.75,17.92,28,945,0.16,-1.34
L'Arc〜en〜Ciel,DRINK IT DOWN,https://open.spotify.com/track/6D5Bw4NledaaDGsPUosWaN,./downloaded_mp3/L'Arc〜en〜Ciel_DRINK IT DOWN.mp3,99,99,80.67,18.01,3,242,0.04,-2.33
ET-KING,さよならまたな,https://open.spotify.com/track/1Si0OXZeyRiNL6fM4BPjLF,./downloaded_mp3/ET-KING_さよならまたな.mp3,70,81,75.0,5.57,3,225,0.17,-2.33
Bonnie Pink,A Perfect Sky,https://open.spotify.com/track/0afmCHp3P3zaGOvcwZBIB3,./downloaded_mp3/Bonnie Pink_A Perfect Sky.mp3,34,34,23.25,9.74,4,93,-0.15,-2.0
Hey!Say!JUMP,Dreams come true,https://open.spotify.com/track/4nv9WkdnTxxetkVV0AQM2a,./downloaded_mp3/Hey!Say!JUMP_Dreams come true.mp3,100,100,74.5,22.66,4,298,0.09,-2.3
大塚愛,ロケットスニーカー,https://open.spotify.com/track/6LrE8TAN1FHFvccK0Z6oDO,./downloaded_mp3/大塚愛_ロケットスニーカー.mp3,95,95,59.2,33.61,5,296,-0.37,-1.7
Micro,踊れ,https://open.spotify.com/track/5u8EIsbvNIW2Q24FTDOREm,./downloaded_mp3/Micro_踊れ.mp3,89,89,48.67,38.36,6,292,-0.27,-2.01
NEWS,SUMMER TIME,https://open.spotify.com/track/5HRHKhyoOUjsnbbvj8Vm5b,./downloaded_mp3/NEWS_SUMMER TIME.mp3,82,100,75.17,26.56,6,451,-0.79,-1.01
YA-KYIM,Super☆Looper,https://open.spotify.com/track/5OUdCmJDzkUJGPlgAGKtYW,./downloaded_mp3/YA-KYIM_Super☆Looper.mp3,76,86,59.5,32.92,4,238,-0.59,-1.8
松浦亜弥,きずな,https://open.spotify.com/track/20leMa1GN0ANnYTaw4GcN7,./downloaded_mp3/松浦亜弥_きずな.mp3,75,75,45.17,30.98,6,271,-0.38,-1.95
オトナモード,グライダー,https://open.spotify.com/track/1vjQan5gKM5J1gUQPzaOND,./downloaded_mp3/オトナモード_グライダー.mp3,65,84,47.8,28.66,5,239,-0.1,-1.72
大橋卓弥,SKY,https://open.spotify.com/track/4hhf1xB6GsiXgGWbhoYjvZ,./downloaded_mp3/大橋卓弥_SKY.mp3,53,93,62.0,18.81,8,496,0.52,-1.43
GLAY,VERB,https://open.spotify.com/track/76SZiO6hZmXKnZ1S5qeX9h,./downloaded_mp3/GLAY_VERB.mp3,50,100,71.33,22.64,6,428,0.18,-2.11
MISIA,約束の翼,https://open.spotify.com/track/5OGfSrUEb3JJeWssf7Tk3r,./downloaded_mp3/MISIA_約束の翼.mp3,46,97,49.75,38.92,4,199,-0.01,-1.89
秦基博,虹が消えた日,https://open.spotify.com/track/7AmMadvuDN3ymZyuriuznB,./downloaded_mp3/秦基博_虹が消えた日.mp3,44,93,50.71,27.1,7,355,0.25,-1.51
DOUBLE & 安室奈美恵,BLACK DIAMOND,https://open.spotify.com/track/4Y2ZFarCjqgB3nL4XqQaih,./downloaded_mp3/DOUBLE & 安室奈美恵_BLACK DIAMOND.mp3,40,71,56.0,15.67,5,280,-0.15,-2.21
Base Ball Bear,changes,https://open.spotify.com/track/6TXCy6LFfJT0E0jMONbqLX,./downloaded_mp3/Base Ball Bear_changes.mp3,37,94,69.25,25.04,4,277,-0.26,-2.05
谷村奈南,JUNGLE DANCE,https://open.spotify.com/track/4TfT9vrsKv6Oj4FT1msOy5,./downloaded_mp3/谷村奈南_JUNGLE DANCE.mp3,32,72,52.67,20.03,3,158,-0.07,-2.33
サザンオールスターズ,希望の轍,https://open.spotify.com/track/1PxSiKj0jedCGmOo4fvqPn,./downloaded_mp3/サザンオールスターズ_希望の轍.mp3,24,60,29.0,17.71,8,232,0.77,-1.22
JAY'ED,Superwoman,https://open.spotify.com/track/0YToqIMJ4DGRKHvMscj7ZQ,./downloaded_mp3/JAY'ED_Superwoman.mp3,15,25,16.25,6.6,4,65,0.25,-1.86
元気ロケッツ,Star Line,https://open.spotify.com/track/1awiYofiG3N08y3xL15Y4p,./downloaded_mp3/元気ロケッツ_Star Line.mp3,13,65,35.17,24.86,6,211,0.04,-2.07
AI,大切なもの,https://open.spotify.com/track/10GJULa43LiE2SK1eSktKw,./downloaded_mp3/AI_大切なもの.mp3,10,92,38.6,31.86,5,193,0.76,-1.27
MEG,HEART,https://open.spotify.com/track/46eXpr2rlKwnblppYXkzdV,./downloaded_mp3/MEG_HEART.mp3,39,39,25.0,12.49,3,75,0.29,-2.33
秋元順子,愛のままで…,https://open.spotify.com/track/6WjmLWvLcUm9kwThhFfatB,./downloaded_mp3/秋元順子_愛のままで….mp3,24,95,65.86,21.6,22,1449,-0.5,-1.1
一青窈,ハナミズキ,https://open.spotify.com/track/28NV7pexaSrgQqxize1rav,./downloaded_mp3/一青窈_ハナミズキ.mp3,6,73,26.82,20.19,17,456,0.6,-0.62
V6,蝶,https://open.spotify.com/track/2LQNfA9HcHtWZgtfXSPLxU,./downloaded_mp3/V6_蝶.mp3,98,98,63.0,38.35,3,189,-0.15,-2.33
the pillows,New Animal,https://open.spotify.com/track/39IuNawhHjZQq8jxXgSvqV,./downloaded_mp3/the pillows_New Animal.mp3,84,84,50.67,36.91,3,152,-0.17,-2.33
トータス松本,涙をとどけて,https://open.spotify.com/track/3h4BPg2imvsFWmSFmarT9e,./downloaded_mp3/トータス松本_涙をとどけて.mp3,78,96,81.5,10.54,4,326,0.4,-1.85
Hi-Fi CAMP,キズナ,https://open.spotify.com/track/21xtzBwQJc1S4a2CtOv2rI,./downloaded_mp3/Hi-Fi CAMP_キズナ.mp3,77,97,83.0,17.24,6,498,-0.91,-0.9
NICO Touches the Walls,THE BUNGY,https://open.spotify.com/track/2VklGMPSjnhW8HwAWN9Q3f,./downloaded_mp3/NICO Touches the Walls_THE BUNGY.mp3,58,86,71.0,14.11,3,213,0.14,-2.33
MINMI,The Perfect Vision,https://open.spotify.com/track/3RMWVjzq7zMgZG3cqDHEgq,./downloaded_mp3/MINMI_The Perfect Vision.mp3,43,67,50.0,14.8,3,150,0.37,-2.33
Dragon Ash,Velvet Touch,https://open.spotify.com/track/3udNISBVOxJg51ed5uzuom,./downloaded_mp3/Dragon Ash_Velvet Touch.mp3,30,97,51.0,26.8,7,357,0.58,-1.37
moumoon,Tiny Star,https://open.spotify.com/track/3EDcPPBrTEMZnbqA1kz1kf,./downloaded_mp3/moumoon_Tiny Star.mp3,24,76,37.75,29.65,4,151,0.24,-2.01
清水翔太,「アイシテル」,https://open.spotify.com/track/1S2JTrjIsHi5WRqIaE6cEv,./downloaded_mp3/清水翔太_「アイシテル」.mp3,23,95,68.25,32.43,4,273,-0.48,-1.9
ASIAN KUNG-FU GENERATION,ムスタング,https://open.spotify.com/track/45vPWzOabPhF7PxR4XHQLb,./downloaded_mp3/ASIAN KUNG-FU GENERATION_ムスタング.mp3,14,86,42.25,31.33,4,169,0.47,-1.87
BoA,Kissing you,https://open.spotify.com/track/1dA5OZjhIOjFzW7AR1sTn1,./downloaded_mp3/BoA_Kissing you.mp3,11,84,35.67,41.86,3,107,0.38,-2.33
SunSet Swish,I Love You,https://open.spotify.com/track/4X37qVAqBUtixdtgumrkvF,./downloaded_mp3/SunSet Swish_I Love You.mp3,5,90,42.43,30.71,7,297,0.24,-1.7
嵐,One Love,https://open.spotify.com/track/3r6Am8NvUDbuS2Yqv76ivi,./downloaded_mp3/嵐_One Love.mp3,2,100,58.2,31.42,20,1164,-0.37,-1.29
倖田來未,Moon Crying,https://open.spotify.com/track/3I3RgS75eYeXhnoX0QELYd,./downloaded_mp3/倖田來未_Moon Crying.mp3,37,98,63.4,39.61,5,317,-0.4,-1.96
