アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
Ado,唱,100,https://open.spotify.com/track/2tlOVDJ3lQsUxz22vPJ4c4,76,60
YOASOBI,アイドル,99,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,74,72
King Gnu,SPECIALZ,96,https://open.spotify.com/track/0GWNtMohuYUEHVZ40tcnHF,70,73
YOASOBI,勇者,95,https://open.spotify.com/track/4LjIQmt1t6NjpM0tpttzjo,74,64
Vaundy,怪獣の花唄,94,https://open.spotify.com/track/7dTW21YAJxnAOiUh7Rtu9S,73,74
シャイトープ,ランデヴー,92,https://open.spotify.com/track/7gSiIKxphi5BGr7SDrSKod,53,60
藤井風,花,91,https://open.spotify.com/track/5W11dL9WmVjS8dx35wQpcq,75,37
LE SSERAFIM,Perfect Night,90,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8,81,77
Official髭男dism,Subtitle,89,https://open.spotify.com/track/49F3htNmwzPKFycPdOrDvf,71,64
キタニタツヤ,青のすみか,88,https://open.spotify.com/track/12usPU2WnqgCHAW1EK2dfd,65,71
back number,クリスマスソング,85,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,77,71
MY FIRST STORY,I'm a mess,83,https://open.spotify.com/track/6c5GqVWU3yFDgPkgBB0MGg,60,59
Mrs.GREEN APPLE,ケセラセラ,82,https://open.spotify.com/track/406ZlqOP9nLQxJFBY7d9S4,80,63
Jung Kook,Seven (feat. Latto),81,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,81,78
SEKAI NO OWARI,最高到達点,80,https://open.spotify.com/track/2hXPmiqKdXcbV0L1VKnTDN,66,63
Mrs.GREEN APPLE,ダンスホール,79,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,80,65
Mrs.GREEN APPLE,Magic,78,https://open.spotify.com/track/170XOP1T4MvY9TLTgPw07D,80,67
NiziU,HEARTRIS,77,https://open.spotify.com/track/3ftr8VIFtTJq2pscGtRUli,60,52
マルシィ,ラブソング,76,https://open.spotify.com/track/5ezanQZbxISkNLgQUW08Cs,60,55
M!LK,ハピダン,75,https://open.spotify.com/track/5H46lJuEVJuhJUXBHtMvKa,55,31
back number,水平線,74,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,77,63
King Gnu,カメレオン,73,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS,70,66
King Gnu,一途,72,https://open.spotify.com/track/7ncPjJBktLEOpstY5JOUMK,70,68
優里,ドライフラワー,71,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,68,64
Ado,クラクラ,70,https://open.spotify.com/track/1430GkKh9OD6jtKNV7pu0Q,76,51
Charm Holic,TOXIC,69,https://open.spotify.com/track/1N49wJJ76u23EkafNlbk38,28,46
10-FEET,第ゼロ感,68,https://open.spotify.com/track/3GGOKTfxgyluPvAFnB30zE,54,59
YOASOBI,Biri-Biri,67,https://open.spotify.com/track/3X9N36jB8FtTkzTCkIFi4u,74,55
King Gnu,逆夢,66,https://open.spotify.com/track/6ZiEWet0uFRwWBCEKCQ8rY,70,67
Jung Kook,3D (feat. Jack Harlow),65,https://open.spotify.com/track/6xGr4tVzpTX99p9Cf0hRRL,81,76
スピッツ,美しい鰭,64,https://open.spotify.com/track/3RauRsiIxUOQTS8h9sVWcP,66,59
Mrs.GREEN APPLE,Soranji,63,https://open.spotify.com/track/6O4twzzHHIM6mmTqPpJNYE,80,63
羊文学,more than words,62,https://open.spotify.com/track/2ZT6eELxeETGamaiXu6vmk,61,66
優里,ビリミリオン,61,https://open.spotify.com/track/7KExqPOvjFzAI4d49mQxt9,68,59
Mrs.GREEN APPLE,青と夏,60,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,80,63
back number,高嶺の花子さん,59,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,77,75
Jung Kook,Standing Next to You,58,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,81,83
米津玄師,KICK BACK,57,https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG,80,76
BE:FIRST,Mainstream,56,https://open.spotify.com/track/5URiLeCucpZMOaQnPO30oJ,70,54
Saucy Dog,シンデレラボーイ,55,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,66,68
Tani Yuuki,W / X / Y,54,https://open.spotify.com/track/6ybLgHBGIxR8R6IIVmaipO,59,59
King Gnu,白日,52,https://open.spotify.com/track/5iF0Yf9gju6ERpAch08JsC,70,59
YOASOBI,祝福,50,https://open.spotify.com/track/7ajpbW6tBpqUI9foCtwlLw,74,61
back number,ヒロイン,49,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H,77,72
YOASOBI,夜に駆ける,48,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,74,70
Stray Kids,LALALALA,47,https://open.spotify.com/track/79f5CcWzdkkDVD4XAIQgKr,86,56
優里,ベテルギウス,46,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,68,69
なとり,Overdose,45,https://open.spotify.com/track/2Dzzhb1oV5ckgOjWZLraIB,67,66
AKB48,アイドルなんかじゃなかったら,43,https://open.spotify.com/track/0svM1S2Msb3aIfpf2Cf0YT,56,37
宇多田ヒカル,First Love,42,https://open.spotify.com/track/39HrUxcvKF3jtLz7fUDWXc,73,72
YOASOBI,群青,41,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA,74,63
新しい学校のリーダーズ,オトナブルー,40,https://open.spotify.com/track/4fMewVWtew1oB6d3E8x9pp,54,47
NALALA,&ME,39,https://open.spotify.com/track/3do2ic9q639cHpcnmC9XAT,29,46
Official髭男dism,ミックスナッツ,38,https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ,71,59
back number,アイラブユー,36,https://open.spotify.com/track/4gbHag1jhjLTDcrbfpFnYQ,77,56
aespa,Drama,34,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew,78,76
舐達麻,FEEL OR BEEF BADPOP IS DEAD,32,https://open.spotify.com/track/437NTuFyPIGPZOySU5xS1n,44,49
back number,花束,31,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ,77,75
あいみょん,マリーゴールド,30,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,70,72
King Gnu,):阿修羅:(,29,https://open.spotify.com/track/0jSHwhowInP7AgP9BkWudl,70,53
Novelbright,Walking with you,28,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd,64,68
Mrs.GREEN APPLE,インフェルノ,27,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT,80,68
Official髭男dism,Pretender,26,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55,71,58
King Gnu,硝子窓,25,https://open.spotify.com/track/7jCSLx1qIlvj7LHiWe1sBD,70,51
back number,HAPPY BIRTHDAY,24,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3,77,74
Vaundy,踊り子,23,https://open.spotify.com/track/7loLSr7JUn78pLHitHr89Z,73,55
back number,ハッピーエンド,22,https://open.spotify.com/track/4GqO80eGXA542oTvlYv4LS,77,74
桑田佳祐,白い恋人達,20,https://open.spotify.com/track/5hFHG3UfvrOfhcV8anlU8g,57,60
マカロニえんぴつ,なんでもないよ、,19,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl,68,70
YOASOBI,怪物,17,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,74,67
トキメッキー,AtoZ,15,https://open.spotify.com/track/37QGbCh3vUtkmGl3LsoLJP,26,43
Ado,unravel,14,https://open.spotify.com/track/3uyiyeKrVPjbMdFGe9sGas,76,58
NewJeans,Ditto,12,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,79,80
