アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
Creepy Nuts,Bling-Bang-Bang-Born,100,https://open.spotify.com/track/0kdqcbwei4MDWFEX5f33yG,70,75,./downloaded_mp3/Creepy Nuts_Bling-Bang-Bang-Born.mp3
Omoinotake,幾億光年,99,https://open.spotify.com/track/4dmruTsdHIOjfOIeaFitXK,58,66,./downloaded_mp3/Omoinotake_幾億光年.mp3
藤井風,満ちてゆく,97,https://open.spotify.com/track/5glPFBAuA1C85tBcVWVzvO,75,68,./downloaded_mp3/藤井風_満ちてゆく.mp3
YOASOBI,アイドル,95,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,74,72,./downloaded_mp3/YOASOBI_アイドル.mp3
Vaundy,タイムパラドックス,94,https://open.spotify.com/track/3jNwPOqdPvQIr5dRT0hzgY,73,65,./downloaded_mp3/Vaundy_タイムパラドックス.mp3
ILLIT,Magnetic,93,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,76,82,./downloaded_mp3/ILLIT_Magnetic.mp3
Mrs.GREEN APPLE,ケセラセラ,92,https://open.spotify.com/track/406ZlqOP9nLQxJFBY7d9S4,80,63,./downloaded_mp3/Mrs.GREEN APPLE_ケセラセラ.mp3
Vaundy,怪獣の花唄,91,https://open.spotify.com/track/7dTW21YAJxnAOiUh7Rtu9S,73,74,./downloaded_mp3/Vaundy_怪獣の花唄.mp3
ヨルシカ,晴る,90,https://open.spotify.com/track/5eY7692tmgHB9dbmq6wa2M,72,72,./downloaded_mp3/ヨルシカ_晴る.mp3
Ado,唱,88,https://open.spotify.com/track/2tlOVDJ3lQsUxz22vPJ4c4,76,60,./downloaded_mp3/Ado_唱.mp3
SPYAIR,オレンジ,87,https://open.spotify.com/track/6M6ZNRplLNspFEn6Ab3mOv,58,65,./downloaded_mp3/SPYAIR_オレンジ.mp3
ZEROBASEONE,ゆらゆら -運命の花-,86,https://open.spotify.com/track/6wpI5gQoIYWBJs9juUEvJI,65,51,./downloaded_mp3/ZEROBASEONE_ゆらゆら -運命の花-.mp3
King Gnu,SPECIALZ,85,https://open.spotify.com/track/0GWNtMohuYUEHVZ40tcnHF,70,73,./downloaded_mp3/King Gnu_SPECIALZ.mp3
友成空,鬼ノ宴,84,https://open.spotify.com/track/096KHkONhQm4MQNH35mU22,54,62,./downloaded_mp3/友成空_鬼ノ宴.mp3
YOASOBI,勇者,83,https://open.spotify.com/track/4LjIQmt1t6NjpM0tpttzjo,74,64,./downloaded_mp3/YOASOBI_勇者.mp3
ME:I,Click,82,https://open.spotify.com/track/2kFUlPHiyXAYMfE0fhoRS4,54,50,./downloaded_mp3/ME:I_Click.mp3
Mrs.GREEN APPLE,ダンスホール,80,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,80,65,./downloaded_mp3/Mrs.GREEN APPLE_ダンスホール.mp3
NiziU,SWEET NONFICTION,79,https://open.spotify.com/track/0fXXfojTJEeJEF0p69qmo2,60,52,./downloaded_mp3/NiziU_SWEET NONFICTION.mp3
Official髭男dism,Subtitle,78,https://open.spotify.com/track/49F3htNmwzPKFycPdOrDvf,71,64,./downloaded_mp3/Official髭男dism_Subtitle.mp3
Mrs.GREEN APPLE,Soranji,77,https://open.spotify.com/track/6O4twzzHHIM6mmTqPpJNYE,80,63,./downloaded_mp3/Mrs.GREEN APPLE_Soranji.mp3
MY FIRST STORY,I'm a mess,76,https://open.spotify.com/track/6c5GqVWU3yFDgPkgBB0MGg,60,59,./downloaded_mp3/MY FIRST STORY_I'm a mess.mp3
TWICE,ONE SPARK,75,https://open.spotify.com/track/22TC1XBg8FZWTQHWsDvZ0s,84,55,./downloaded_mp3/TWICE_ONE SPARK.mp3
星街すいせい,ビビデバ,74,https://open.spotify.com/track/5Ct010aQ4rroKyjKhTlS7I,61,64,./downloaded_mp3/星街すいせい_ビビデバ.mp3
シャイトープ,ランデヴー,73,https://open.spotify.com/track/7gSiIKxphi5BGr7SDrSKod,53,60,./downloaded_mp3/シャイトープ_ランデヴー.mp3
