Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4518280632411067,0.5022233201581028,0.49645915678524377,0.49205368906455865
Kurtosis,0.5461840812315755,0.5443416311824435,0.5574025548640682,0.6308139534883721
Length,0.5575075260835498,0.5610334446781311,0.5565796527691864,0.6260051960905604
Max,0.5923566878980892,0.5764331210191083,0.5764331210191083,0.6050955414012739
Mean,0.5378455284552845,0.5538211382113821,0.5501219512195122,0.5467886178861788
Skewness,0.5429244708081096,0.5637671149392598,0.509182139519766,0.5283183683419331
Std,0.5254395962227287,0.5459133832627808,0.5188863562357539,0.5346792575708238
Sum,0.5540849673202615,0.5526552287581699,0.5604166666666667,0.617361111111111
Average,0.5385213651575882,0.5500235477761724,0.5406851998849131,0.5726394668693515



training,2014,2017,2019,2022
val,2020
test,2015



Data Shapes
traing_data(%),66.34746922024624
Train,970
Val,178
Test,314
