Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.4593939393939394,0.5060606060606061,0.4766666666666667,0.49242424242424243
Kurtosis,0.5065185185185185,0.5662222222222222,0.5472592592592593,0.6125925925925926
Length,0.49642857142857144,0.5273809523809524,0.5369047619047619,0.6345238095238095
Max,0.5202275600505689,0.5545722713864307,0.5198663536210945,0.5566191078201191
Mean,0.5230269153654535,0.5373048180326874,0.4550397958563704,0.46980375478461633
Skewness,0.5653846153846154,0.5115384615384615,0.4346153846153846,0.5115384615384615
Std,0.5123167507810622,0.5017423696226868,0.5427180966113915,0.5324441240086517
Sum,0.5004205719778899,0.5531723143475127,0.5298005287190579,0.6323600096130738
Average,0.5104646803625774,0.532249251948945,0.5053588559067483,0.5552882627881959



training,2015,2010,2023,2019
val,2020
test,2016



Data Shapes
traing_data(%),69.79310344827586
Train,1012
Val,178
Test,260
