Target_Metric,Exp1: Group_Complexity,Exp2: Group_MFCC,Exp3: Combined_All,Exp4: Spotify_Popularity
Debut_Score,0.49204545454545456,0.49469696969696975,0.5106060606060606,0.5318181818181817
Kurtosis,0.4645096415473796,0.5322370755944635,0.5057967585472614,0.6161717733349107
Length,0.55311004784689,0.57188995215311,0.5669856459330144,0.5952153110047846
Max,0.5171783625730995,0.5248538011695907,0.5051169590643275,0.5175438596491229
Mean,0.5201688555347092,0.5404549718574109,0.5410412757973734,0.5471388367729831
Skewness,0.49803407601572736,0.48987251280829264,0.45740498034076016,0.4971404742046944
Std,0.5392589062313833,0.5167401405933516,0.5274633623257476,0.5320505182890504
Sum,0.5121462264150943,0.5470518867924528,0.5285377358490566,0.6403301886792453
Average,0.5120564463387173,0.5272246638332052,0.5178690973079502,0.5596761429691217



training,2019,2024,2010,2015
val,2011
test,2022



Data Shapes
traing_data(%),66.11039794608472
Train,1030
Val,342
Test,186
