アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
Hey!Say!JUMP,瞳のスクリーン,100,https://open.spotify.com/track/5IQkCEZKUddbzDcVPueaSI,57,37,./downloaded_mp3/Hey!Say!JUMP_瞳のスクリーン.mp3
the brilliant green,LIKE YESTERDAY,99,https://open.spotify.com/track/4kHwmCDZlnqskAHHoQXd5I,43,14,./downloaded_mp3/the brilliant green_LIKE YESTERDAY.mp3
西野カナ,Best Friend,98,https://open.spotify.com/track/3MdexUBPABPd1E8XKvEl85,63,49,./downloaded_mp3/西野カナ_Best Friend.mp3
Galileo Galilei,ハマナスの花,95,https://open.spotify.com/track/5FHGtti0mwJkt9YmayGiig,45,23,./downloaded_mp3/Galileo Galilei_ハマナスの花.mp3
JUJU,桜雨,93,https://open.spotify.com/track/21CdOA2joGLKWyVlYCK1kL,54,38,./downloaded_mp3/JUJU_桜雨.mp3
LOVE LOVE LOVE,プラネタリウム,92,https://open.spotify.com/track/5KuGuAF3QIXbOqV9FnxsxM,13,1,./downloaded_mp3/LOVE LOVE LOVE_プラネタリウム.mp3
SOULHEAD,Whatever,90,https://open.spotify.com/track/4xsXD62LWxgsIUx6QSEw1h,33,17,./downloaded_mp3/SOULHEAD_Whatever.mp3
AKB48,桜の栞,89,https://open.spotify.com/track/7FZPkn1jv0T63TjZnvGFtA,56,34,./downloaded_mp3/AKB48_桜の栞.mp3
東京事変,シーズンサヨナラ,88,https://open.spotify.com/track/4hqOit4BDQLm3KYDosDEOb,53,34,./downloaded_mp3/東京事変_シーズンサヨナラ.mp3
Hi-Fi CAMP,Lost Love Song,87,https://open.spotify.com/track/2D9C9EIPtxLXoYc3XSuZRh,27,17,./downloaded_mp3/Hi-Fi CAMP_Lost Love Song.mp3
北乃きい,サクラサク,84,https://open.spotify.com/track/3CQU7x8a5K36xYlldJDFhk,19,31,./downloaded_mp3/北乃きい_サクラサク.mp3
YUKI,うれしくって抱きあうよ,79,https://open.spotify.com/track/0WUrnNtdEXTboycmTCjgj9,44,37,./downloaded_mp3/YUKI_うれしくって抱きあうよ.mp3
オンナラブリー,Onaraはずかしくないよ,78,https://open.spotify.com/track/58Fjtq2fLVFddtNPllcae5,7,22,./downloaded_mp3/オンナラブリー_Onaraはずかしくないよ.mp3
Qwai,サヨナラの空,72,https://open.spotify.com/track/5upoKfRGTzi5irZFzDNTI6,19,35,./downloaded_mp3/Qwai_サヨナラの空.mp3
ゆず,桜会,69,https://open.spotify.com/track/3VvYEvbQwNPPe9nuweV3g9,56,31,./downloaded_mp3/ゆず_桜会.mp3
