アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
米津玄師,Lemon,100,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,80,72,./downloaded_mp3/米津玄師_Lemon.mp3
星野源,ドラえもん,96,https://open.spotify.com/track/6rEReeuYDZdggaSMF1sybO,66,55,./downloaded_mp3/星野源_ドラえもん.mp3
菅田将暉,さよならエレジー,95,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,60,67,./downloaded_mp3/菅田将暉_さよならエレジー.mp3
AKB48,ジャーバージャ,94,https://open.spotify.com/track/5laRzsHdrok6lWjSG0POCI,56,17,./downloaded_mp3/AKB48_ジャーバージャ.mp3
Perfume,無限未来,92,https://open.spotify.com/track/6WM01q2LGO0j4X4RvzgVAc,57,40,./downloaded_mp3/Perfume_無限未来.mp3
ポルノグラフィティ,カメレオン・レンズ,91,https://open.spotify.com/track/0Ur3iSK9yoVGbHIDlmMAQS,62,38,./downloaded_mp3/ポルノグラフィティ_カメレオン・レンズ.mp3
DAOKO × 米津玄師,打上花火,88,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,55,61,./downloaded_mp3/DAOKO × 米津玄師_打上花火.mp3
ONE OK ROCK,Change,87,https://open.spotify.com/track/14DNw6R24Vcm4lzaSFn3oz,71,53,./downloaded_mp3/ONE OK ROCK_Change.mp3
SHISHAMO,水色の日々,86,https://open.spotify.com/track/18fS2FqwAzJHd6S095hGdp,58,33,./downloaded_mp3/SHISHAMO_水色の日々.mp3
TWICE,Candy Pop,85,https://open.spotify.com/track/39GvWlUAF4Y3qzboUyvBkg,84,51,./downloaded_mp3/TWICE_Candy Pop.mp3
SEKAI NO OWARI,サザンカ,84,https://open.spotify.com/track/2myzCVDwfwvDzEEmGwMNBN,66,51,./downloaded_mp3/SEKAI NO OWARI_サザンカ.mp3
E-girls,"Pain, pain",83,https://open.spotify.com/track/3caS1KzJjIeWCoP1lUEZ49,47,37,"./downloaded_mp3/E-girls_Pain, pain.mp3"
Little Glee Monster,ギュッと,81,https://open.spotify.com/track/6zLGSD93cilGg1UZ9b9QDz,54,42,./downloaded_mp3/Little Glee Monster_ギュッと.mp3
Mr.Children,here comes my love,78,https://open.spotify.com/track/0fJIYxSiVJjO6xqMqPXCYy,66,36,./downloaded_mp3/Mr.Children_here comes my love.mp3
ジェニーハイ,片目で異常に恋してる,77,https://open.spotify.com/track/4Ms2FB2oo1y7giydhxcuJE,45,36,./downloaded_mp3/ジェニーハイ_片目で異常に恋してる.mp3
UNISON SQUARE GARDEN,春が来てぼくら,75,https://open.spotify.com/track/1hbTYIALy6ZKUraynVquOk,55,36,./downloaded_mp3/UNISON SQUARE GARDEN_春が来てぼくら.mp3
高木さん(高橋李依),気まぐれロマンティック,72,https://open.spotify.com/track/2ivTDMirJsFKznRukF1Dga,40,42,./downloaded_mp3/高木さん(高橋李依)_気まぐれロマンティック.mp3
Yogee New Waves,Bluemin' Days,70,https://open.spotify.com/track/665BkSw7XINyNnm1Z9RwJ7,39,29,./downloaded_mp3/Yogee New Waves_Bluemin' Days.mp3
米津玄師,アイネクライネ,69,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,80,69,./downloaded_mp3/米津玄師_アイネクライネ.mp3
Aimer(エメ),Ref:rain,68,https://open.spotify.com/track/6MNY72T605kPIOH3hnioxu,66,57,./downloaded_mp3/Aimer(エメ)_Ref:rain.mp3
TWICE,LIKEY,66,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI,84,54,./downloaded_mp3/TWICE_LIKEY.mp3
嵐,Find The Answer,65,https://open.spotify.com/track/5Gap4rp2OPWWYxi517OG7L,66,47,./downloaded_mp3/嵐_Find The Answer.mp3
サカナクション,新宝島,63,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1,66,56,./downloaded_mp3/サカナクション_新宝島.mp3
NEWS,EPCOTIA,58,https://open.spotify.com/track/3al354nEL4gSWyNaZA4x6n,54,21,./downloaded_mp3/NEWS_EPCOTIA.mp3
米津玄師,LOSER,57,https://open.spotify.com/track/7AqUE5AY514dbzeOAfJRa0,80,67,./downloaded_mp3/米津玄師_LOSER.mp3
GOT7,Look,56,https://open.spotify.com/track/6LnCV1rFVY7dTdK0wPrUBu,62,26,./downloaded_mp3/GOT7_Look.mp3
TWICE,TT,54,https://open.spotify.com/track/0x3fUdLjlYlO35v979kI3q,84,36,./downloaded_mp3/TWICE_TT.mp3
SKE48,無意識の色,53,https://open.spotify.com/track/7Jm7yxmeUBl8brqu19qhHE,33,18,./downloaded_mp3/SKE48_無意識の色.mp3
欅坂46,風に吹かれても,52,https://open.spotify.com/track/2WTurc6P0qxHFfQliKKIpz,49,43,./downloaded_mp3/欅坂46_風に吹かれても.mp3
ケツメイシ,さくら,50,https://open.spotify.com/track/5rfUCmoI7axj6mjpu1Rto5,57,58,./downloaded_mp3/ケツメイシ_さくら.mp3
TWICE,Heart Shaker,49,https://open.spotify.com/track/6gxF4ibm6S95UUC6vyIiln,84,55,./downloaded_mp3/TWICE_Heart Shaker.mp3
BTS (防弾少年団),DNA,46,https://open.spotify.com/track/2ngmiq1KoYn3x25VOmvd8F,86,72,./downloaded_mp3/BTS (防弾少年団)_DNA.mp3
back number,瞬き,45,https://open.spotify.com/track/7hIfpcdUZcyCKHYy8gp49E,77,69,./downloaded_mp3/back number_瞬き.mp3
MOMOLAND,BBoom BBoom,44,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,52,64,./downloaded_mp3/MOMOLAND_BBoom BBoom.mp3
SHISHAMO,明日も,43,https://open.spotify.com/track/2GICOigS4ByugDisRegs3M,58,65,./downloaded_mp3/SHISHAMO_明日も.mp3
欅坂46,不協和音,42,https://open.spotify.com/track/1CAIveeC0CUY0KbENoNU3X,49,47,./downloaded_mp3/欅坂46_不協和音.mp3
