アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
STU48,暗闇,100,https://open.spotify.com/track/01DPWHlpb1z2BjXoZdmJXt,30,29,./downloaded_mp3/STU48_暗闇.mp3
MONSTA X,SPOTLIGHT,99,https://open.spotify.com/track/3f50PPDmlxAduJaOTvsTfL,61,30,./downloaded_mp3/MONSTA X_SPOTLIGHT.mp3
上坂すみれ,POP TEAM EPIC,97,https://open.spotify.com/track/1wKNjt94Q6xdcHAuW5Wviz,34,35,./downloaded_mp3/上坂すみれ_POP TEAM EPIC.mp3
EXILE,PARTY ALL NIGHT〜STAR OF WISH〜,95,https://open.spotify.com/track/0zhSKdFQobDVwrMLNAlGSk,60,29,./downloaded_mp3/EXILE_PARTY ALL NIGHT〜STAR OF WISH〜.mp3
坂本真綾,CLEAR,93,https://open.spotify.com/track/1dmxpZEJUyxglqyuo3DqGh,45,40,./downloaded_mp3/坂本真綾_CLEAR.mp3
TWICE,Candy Pop,92,https://open.spotify.com/track/39GvWlUAF4Y3qzboUyvBkg,84,51,./downloaded_mp3/TWICE_Candy Pop.mp3
氷川きよし,勝負の花道,90,https://open.spotify.com/track/5Epbn3cTwRYzkTNsgbmyNX,42,8,./downloaded_mp3/氷川きよし_勝負の花道.mp3
KinKi Kids,Topaz Love,89,https://open.spotify.com/track/1iAYTk2jAbVGQRzKcwDIdP,55,35,./downloaded_mp3/KinKi Kids_Topaz Love.mp3
JUJU,東京,88,https://open.spotify.com/track/1HYnjaFEtXBtap95WOL0d2,54,40,./downloaded_mp3/JUJU_東京.mp3
Mr.Children,here comes my love,87,https://open.spotify.com/track/0fJIYxSiVJjO6xqMqPXCYy,66,36,./downloaded_mp3/Mr.Children_here comes my love.mp3
TWICE,TT,85,https://open.spotify.com/track/0x3fUdLjlYlO35v979kI3q,84,36,./downloaded_mp3/TWICE_TT.mp3
SEKAI NO OWARI,サザンカ,84,https://open.spotify.com/track/2myzCVDwfwvDzEEmGwMNBN,66,51,./downloaded_mp3/SEKAI NO OWARI_サザンカ.mp3
DAOKO × 米津玄師,打上花火,83,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,55,61,./downloaded_mp3/DAOKO × 米津玄師_打上花火.mp3
星野源,ドラえもん,82,https://open.spotify.com/track/6rEReeuYDZdggaSMF1sybO,66,55,./downloaded_mp3/星野源_ドラえもん.mp3
