Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
エレファントカシマシ,今宵の月のように,https://open.spotify.com/track/0wMfMGp7nz7JMNw7tei9f5,./downloaded_mp3/エレファントカシマシ_今宵の月のように.mp3,2013,16,71,32.2,23.78,5,161,0.64,-1.39,51,62
MONGOL800,小さな恋のうた,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35,./downloaded_mp3/MONGOL800_小さな恋のうた.mp3,2013,26,73,28.81,19.25,52,1498,0.72,-0.33,54,67
AAA,恋音と雨空,https://open.spotify.com/track/3KcT7QC0x2XyL6jtfLoGPm,./downloaded_mp3/AAA_恋音と雨空.mp3,2013,9,96,30.96,22.84,71,2198,0.65,-0.4,55,48
AKB48,恋するフォーチュンクッキー,https://open.spotify.com/track/3Tw2WaAaeRj0YKtTUogJVz,./downloaded_mp3/AKB48_恋するフォーチュンクッキー.mp3,2013,14,100,47.61,30.21,85,4047,0.25,-1.35,56,50
SEKAI NO OWARI,RPG,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,./downloaded_mp3/SEKAI NO OWARI_RPG.mp3,2013,22,100,43.62,23.4,97,4231,0.24,-0.6,66,66
吉田山田,日々,https://open.spotify.com/track/78iXPlh3D67sgglgTbJBl6,./downloaded_mp3/吉田山田_日々.mp3,2013,39,81,44.48,22.44,27,1201,-0.09,-1.26,29,43
乃木坂46,君の名は希望,https://open.spotify.com/track/6cpCNUPcAoiSKcQC65MoEE,./downloaded_mp3/乃木坂46_君の名は希望.mp3,2013,3,98,64.2,38.83,5,321,-0.57,-1.59,61,44
back number,高嶺の花子さん,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,./downloaded_mp3/back number_高嶺の花子さん.mp3,2013,20,98,39.7,20.98,338,13420,-0.13,-1.06,77,75
ポルノグラフィティ,サウダージ,https://open.spotify.com/track/7lUaEsQVwvNEjaJNcvc1CN,./downloaded_mp3/ポルノグラフィティ_サウダージ.mp3,2013,1,59,19.32,12.89,41,792,1.25,1.41,62,64
B'z,LOVE PHANTOM,https://open.spotify.com/track/6rcPP3eWwKcUrIEWb1bR5S,./downloaded_mp3/B'z_LOVE PHANTOM.mp3,2013,2,50,29.0,22.18,4,116,-0.18,-2.19,66,61
