Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
米津玄師,アイネクライネ,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,./downloaded_mp3/米津玄師_アイネクライネ.mp3,2014,49,82,38.63,20.6,134,5177,-0.0,-0.88,80,69
ET-KING,ギフト,https://open.spotify.com/track/58oZnEFcAVvxszG4TJs513,./downloaded_mp3/ET-KING_ギフト.mp3,2014,47,47,41.67,5.03,3,125,0.13,-2.33,43,53
クリス・ハート,I LOVE YOU,https://open.spotify.com/track/0mf82mK5aeZm4vN9HM2InQ,./downloaded_mp3/クリス・ハート_I LOVE YOU.mp3,2014,21,95,48.19,30.22,21,1012,-0.01,-1.3,45,54
秦基博,ひまわりの約束,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d,./downloaded_mp3/秦基博_ひまわりの約束.mp3,2014,29,99,48.82,27.11,155,7567,0.05,-1.06,57,63
中島みゆき,糸,https://open.spotify.com/track/06m8KKTa6rAYJ5I6l2gZgS,./downloaded_mp3/中島みゆき_糸.mp3,2014,6,57,18.22,14.33,18,328,1.03,0.56,54,57
清水翔太,DREAM,https://open.spotify.com/track/7ssY4P3yB4pcE7FWH7SvDD,./downloaded_mp3/清水翔太_DREAM.mp3,2014,41,89,45.62,26.21,8,365,0.24,-1.4,65,54
サザンオールスターズ,東京VICTORY,https://open.spotify.com/track/4XnY5LBp2C37Cr0VrQmGl2,./downloaded_mp3/サザンオールスターズ_東京VICTORY.mp3,2014,23,100,71.11,24.51,19,1351,-0.72,-0.93,65,46
back number,ヒロイン,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H,./downloaded_mp3/back number_ヒロイン.mp3,2014,12,99,38.69,27.18,101,3908,0.52,-0.77,77,72
RADWIMPS,セプテンバーさん,https://open.spotify.com/track/0D2ZQ5DKyys3UPAfeKpvwp,./downloaded_mp3/RADWIMPS_セプテンバーさん.mp3,2014,18,54,27.17,19.11,6,163,0.5,-1.91,75,64
絢香,にじいろ,https://open.spotify.com/track/3JrxNi0sQ1Lnx8eGonp3Ma,./downloaded_mp3/絢香_にじいろ.mp3,2014,5,96,50.32,25.52,66,3321,-0.11,-1.0,55,60
西野カナ,好き,https://open.spotify.com/track/0o3Qt0eAqvHHnkSlzGKg9Q,./downloaded_mp3/西野カナ_好き.mp3,2014,37,97,50.52,22.83,58,2930,0.1,-0.56,63,48
西野カナ,Darling,https://open.spotify.com/track/5ifBjexppI1XZOx5eBqnJZ,./downloaded_mp3/西野カナ_Darling.mp3,2014,6,99,55.0,35.26,52,2860,-0.19,-1.67,63,56
BUMP OF CHICKEN,ray,https://open.spotify.com/track/1QrR4mWXPY9bLsA4FKYtJF,./downloaded_mp3/BUMP OF CHICKEN_ray.mp3,2014,3,99,50.11,34.16,19,952,-0.14,-1.49,64,56
AAA,さよならの前に,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,./downloaded_mp3/AAA_さよならの前に.mp3,2014,11,98,42.69,27.14,29,1238,0.53,-1.03,55,56
μ's,それは僕たちの奇跡,https://open.spotify.com/track/4M1msELaGptV81LDVIHAwb,./downloaded_mp3/μ's_それは僕たちの奇跡.mp3,2014,71,99,60.0,32.56,7,420,-0.28,-1.79,45,37
SEKAI NO OWARI,Dragon Night,https://open.spotify.com/track/4XdzCpY4Ekv5SezuuFpBDG,./downloaded_mp3/SEKAI NO OWARI_Dragon Night.mp3,2014,20,99,59.75,34.34,52,3107,-0.3,-1.59,66,62
TM NETWORK,Get Wild,https://open.spotify.com/track/5boa5pUNMOHjpXuKyIGcXj,./downloaded_mp3/TM NETWORK_Get Wild.mp3,2014,42,78,39.79,23.4,14,557,-0.13,-1.2,49,50
宇多田ヒカル,First Love,https://open.spotify.com/track/39HrUxcvKF3jtLz7fUDWXc,./downloaded_mp3/宇多田ヒカル_First Love.mp3,2014,23,96,41.36,27.53,55,2275,0.52,-1.05,73,72
宇多田ヒカル,automatic,https://open.spotify.com/track/6DJ3dfsY7fOU161ZMjzWIH,./downloaded_mp3/宇多田ヒカル_automatic.mp3,2014,19,28,22.67,4.73,3,68,0.31,-2.33,73,64
KANA-BOON,シルエット,https://open.spotify.com/track/1di1C0QI6Y92yZPYn6XYAZ,./downloaded_mp3/KANA-BOON_シルエット.mp3,2014,53,92,39.61,28.66,23,911,0.18,-1.49,62,76
キリンジ,エイリアンズ,https://open.spotify.com/track/5NclFtKE9l08xM8XhDKyzx,./downloaded_mp3/キリンジ_エイリアンズ.mp3,2014,69,69,52.8,11.12,5,264,0.3,-1.72,52,58
椎名林檎,青春の瞬き,https://open.spotify.com/track/63F1cWkR3NC13jXqhhjcfE,./downloaded_mp3/椎名林檎_青春の瞬き.mp3,2014,12,60,24.0,22.66,5,120,0.56,-1.5,66,40
嵐,誰も知らない,https://open.spotify.com/track/1ep3vnJjjHqXySMAYro0kN,./downloaded_mp3/嵐_誰も知らない.mp3,2014,100,100,65.14,33.32,14,912,-0.36,-1.62,66,34
AKB48,ラブラドール・レトリバー,https://open.spotify.com/track/3IMu4MWOmkMNa6xPqMwhr6,./downloaded_mp3/AKB48_ラブラドール・レトリバー.mp3,2014,99,100,53.53,33.99,19,1017,-0.13,-1.59,56,27
μ's,ユメノトビラ,https://open.spotify.com/track/25XEy7KfUjdYwbpd4qRSqS,./downloaded_mp3/μ's_ユメノトビラ.mp3,2014,98,98,45.2,38.05,5,226,0.19,-1.89,45,32
高橋優,太陽と花,https://open.spotify.com/track/4clvsiCwsklLlJGWaC8PY5,./downloaded_mp3/高橋優_太陽と花.mp3,2014,96,96,56.89,27.95,9,512,-0.32,-1.33,49,29
氣志團,喧嘩上等,https://open.spotify.com/track/77nG4hpn8NE4w2KqWQkPIi,./downloaded_mp3/氣志團_喧嘩上等.mp3,2014,95,95,62.91,32.18,11,692,-0.68,-1.33,44,46
Mr.Children,放たれる,https://open.spotify.com/track/2aPgDevJa2VKLd4eQCOJQu,./downloaded_mp3/Mr.Children_放たれる.mp3,2014,94,97,73.8,29.68,5,369,-0.72,-1.41,66,32
Happiness,JUICY LOVE,https://open.spotify.com/track/6mFltwUZ1MtoGuNnY1lqqD,./downloaded_mp3/Happiness_JUICY LOVE.mp3,2014,92,92,51.17,29.04,6,307,0.09,-1.74,25,24
Petit Rabbit's,Daydream cafe,https://open.spotify.com/track/5RhOCu953jAVm5R29Sow0i,./downloaded_mp3/Petit Rabbit's_Daydream cafe.mp3,2014,90,90,48.0,37.72,3,144,0.27,-2.33,27,32
西野カナ,We Don't Stop,https://open.spotify.com/track/7yoA45s3Ky0FWI0176PbcX,./downloaded_mp3/西野カナ_We Don't Stop.mp3,2014,88,99,66.29,24.46,14,928,-0.53,-1.13,63,43
aiko,明日の歌,https://open.spotify.com/track/1yYeYyaB2znP1fQ5A0GaaJ,./downloaded_mp3/aiko_明日の歌.mp3,2014,86,86,53.83,23.88,6,323,-0.01,-1.76,62,36
KANA-BOON,フルドライブ,https://open.spotify.com/track/3YPHUW9oe3fzJjqSnkPWru,./downloaded_mp3/KANA-BOON_フルドライブ.mp3,2014,85,96,53.0,30.66,8,424,-0.08,-1.56,62,42
Aimer(エメ),StarRingChild,https://open.spotify.com/track/3Xzb9D64WsKmYcV8AGMmeu,./downloaded_mp3/Aimer(エメ)_StarRingChild.mp3,2014,83,84,62.75,24.84,4,251,-0.13,-2.29,66,47
GReeeeN,風,https://open.spotify.com/track/4o78ZtgivPNChGCxHqlPvm,./downloaded_mp3/GReeeeN_風.mp3,2014,82,82,60.2,23.97,5,301,-0.68,-1.41,62,25
SEKAI NO OWARI,炎と森のカーニバル,https://open.spotify.com/track/5kDz0Wrx0UpaVRttDZ4KtI,./downloaded_mp3/SEKAI NO OWARI_炎と森のカーニバル.mp3,2014,79,100,54.44,30.92,27,1470,0.03,-1.5,66,56
スガシカオ,アストライド,https://open.spotify.com/track/7sBeMWFqm5r5wmB7J1ispY,./downloaded_mp3/スガシカオ_アストライド.mp3,2014,78,78,51.5,34.1,4,206,-0.61,-1.78,42,7
ファンキー加藤,輝け,https://open.spotify.com/track/3icuZYiLqcakUHsBqh5p2V,./downloaded_mp3/ファンキー加藤_輝け.mp3,2014,74,97,54.33,30.27,9,489,-0.14,-1.47,19,23
鈴木このみ,This game,https://open.spotify.com/track/5CjJHeHywo6Xzx79DNXCAv,./downloaded_mp3/鈴木このみ_This game.mp3,2014,73,92,43.17,34.17,6,259,0.24,-1.85,53,44
fripSide,black bullet,https://open.spotify.com/track/52J9q7kUlK0YvQ2UwqQpkE,./downloaded_mp3/fripSide_black bullet.mp3,2014,68,91,61.4,31.62,5,307,-0.22,-2.06,50,48
藤宮香織(雨宮天),奏(かなで),https://open.spotify.com/track/6MgA0JkDUsYeePdFIpobh0,./downloaded_mp3/藤宮香織(雨宮天)_奏(かなで).mp3,2014,66,90,45.6,31.8,5,228,0.31,-1.96,20,37
ももいろクローバーZ,泣いてもいいんだよ,https://open.spotify.com/track/7qyGjLDvaELcJIml3H1tTF,./downloaded_mp3/ももいろクローバーZ_泣いてもいいんだよ.mp3,2014,63,99,50.56,33.8,9,455,0.13,-1.65,48,28
SPYAIR,イマジネーション,https://open.spotify.com/track/1xc9r9pgQ3CG7iViKPf0cQ,./downloaded_mp3/SPYAIR_イマジネーション.mp3,2014,62,98,51.71,29.75,14,724,-0.08,-1.06,58,59
SALU,Goodtime,https://open.spotify.com/track/5BBJI2hlPga1IfEONVV6UX,./downloaded_mp3/SALU_Goodtime.mp3,2014,59,68,36.2,26.56,5,181,0.08,-2.03,48,14
阿部真央,Believe in yourself,https://open.spotify.com/track/5qerIHJKf0SXQs2Ij4Xve1,./downloaded_mp3/阿部真央_Believe in yourself.mp3,2014,58,78,48.0,36.06,3,144,-0.26,-2.33,48,39
キング・クリームソーダ,ゲラゲラポーのうた,https://open.spotify.com/track/4HMKsJyQlww5Lbu72XTNh9,./downloaded_mp3/キング・クリームソーダ_ゲラゲラポーのうた.mp3,2014,53,92,49.7,20.51,33,1640,-0.36,0.13,36,34
星野源,Crazy Crazy,https://open.spotify.com/track/57T1nEAUura1AX0JgJDVDu,./downloaded_mp3/星野源_Crazy Crazy.mp3,2014,52,94,65.86,20.03,7,461,-0.23,-1.34,66,45
スガシカオ,LIFE,https://open.spotify.com/track/6urHrSVklhzK5Ca4fl0LP5,./downloaded_mp3/スガシカオ_LIFE.mp3,2014,49,75,67.75,12.53,4,271,-0.74,-1.69,42,5
angela,シドニア,https://open.spotify.com/track/7fHz3bMy909FFZx3u6eRFV,./downloaded_mp3/angela_シドニア.mp3,2014,47,70,35.0,23.0,6,210,0.21,-1.62,40,37
Perfume,Hold Your Hand,https://open.spotify.com/track/6ueesm8uFUv4lSR0lVI9f5,./downloaded_mp3/Perfume_Hold Your Hand.mp3,2014,40,60,37.67,23.59,3,113,-0.1,-2.33,57,19
Superfly,Live,https://open.spotify.com/track/6EfiM108OHiYnJkWGGKvJ7,./downloaded_mp3/Superfly_Live.mp3,2014,33,94,50.5,35.76,4,202,0.12,-2.1,59,20
