Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
ヨルシカ,花に亡霊,https://open.spotify.com/track/53maoOKr6j04iqk6qjdvQN,./downloaded_mp3/ヨルシカ_花に亡霊.mp3,2020,95,95,53.53,23.97,43,2302,-0.41,-1.03,72,57
YOASOBI,夜に駆ける,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,./downloaded_mp3/YOASOBI_夜に駆ける.mp3,2020,93,100,65.14,28.4,253,16481,-0.66,-0.56,74,70
Official髭男dism,パラボラ,https://open.spotify.com/track/55pezTty1DSrrc8wlOMZbA,./downloaded_mp3/Official髭男dism_パラボラ.mp3,2020,92,95,55.45,27.01,33,1830,-0.23,-1.09,71,52
Uru,あなたがいることで,https://open.spotify.com/track/2AVbKUuvvzbPK6NIZZZvcY,./downloaded_mp3/Uru_あなたがいることで.mp3,2020,89,95,57.08,30.02,38,2169,-0.32,-1.46,62,64
THE RAMPAGE from EXILE TRIBE,INVISIBLE LOVE,https://open.spotify.com/track/0gyaI2NK27hp9AjrVHNFG1,./downloaded_mp3/THE RAMPAGE from EXILE TRIBE_INVISIBLE LOVE.mp3,2020,88,88,45.0,32.03,4,180,0.33,-1.93,51,26
Rin音,snow jam,https://open.spotify.com/track/1SbEt51pN80q1cphFOqIPL,./downloaded_mp3/Rin音_snow jam.mp3,2020,81,81,48.59,20.06,66,3207,-0.46,-0.74,44,50
GENERATIONS from EXILE TRIBE,ヒラヒラ,https://open.spotify.com/track/7BtpvxsRbBApSzlOwl3yeU,./downloaded_mp3/GENERATIONS from EXILE TRIBE_ヒラヒラ.mp3,2020,80,93,58.67,28.77,6,352,-0.12,-1.98,52,24
家入レオ,未完成,https://open.spotify.com/track/2SHmn1lF0VgWkdeqKY02Zt,./downloaded_mp3/家入レオ_未完成.mp3,2020,78,87,54.57,23.24,30,1637,-0.34,-1.18,52,55
星野源,うちで踊ろう,https://open.spotify.com/track/3K7dAM3ummhbRZgaFyQa49,./downloaded_mp3/星野源_うちで踊ろう.mp3,2020,72,88,62.71,28.9,7,439,-1.17,-0.1,66,29
瑛人,香水,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT,./downloaded_mp3/瑛人_香水.mp3,2020,67,100,78.78,24.08,55,4333,-1.1,-0.18,39,50
King Gnu,どろん,https://open.spotify.com/track/5KQUugWVoDTgHXSN7UU5Qb,./downloaded_mp3/King Gnu_どろん.mp3,2020,65,95,63.0,21.35,24,1512,-0.32,-1.29,70,57
