Artist,Track,URL,MP3_Path,Debut_Year,Debut_Score,Max,Mean,Std,Length,Sum,Skewness,Kurtosis,Artist_Popularity,Track_Popularity
Mrs.GREEN APPLE,ケセラセラ,https://open.spotify.com/track/406ZlqOP9nLQxJFBY7d9S4,./downloaded_mp3/Mrs.GREEN APPLE_ケセラセラ.mp3,2023,88,98,83.97,12.44,133,11168,-1.58,1.49,80,63
YOASOBI,アイドル,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,./downloaded_mp3/YOASOBI_アイドル.mp3,2023,82,100,84.21,17.06,112,9432,-1.31,2.48,74,72
Ado,唱,https://open.spotify.com/track/2tlOVDJ3lQsUxz22vPJ4c4,./downloaded_mp3/Ado_唱.mp3,2023,74,100,68.12,30.62,89,6063,-0.78,-0.74,76,60
Mrs.GREEN APPLE,Magic,https://open.spotify.com/track/170XOP1T4MvY9TLTgPw07D,./downloaded_mp3/Mrs.GREEN APPLE_Magic.mp3,2023,66,98,70.23,14.38,105,7374,-1.28,4.84,80,67
MY FIRST STORY,I'm a mess,https://open.spotify.com/track/6c5GqVWU3yFDgPkgBB0MGg,./downloaded_mp3/MY FIRST STORY_I'm a mess.mp3,2023,58,93,62.01,24.0,94,5829,-0.72,-0.44,60,59
King Gnu,SPECIALZ,https://open.spotify.com/track/0GWNtMohuYUEHVZ40tcnHF,./downloaded_mp3/King Gnu_SPECIALZ.mp3,2023,51,99,59.79,32.81,77,4604,-0.23,-1.54,70,73
YOASOBI,勇者,https://open.spotify.com/track/4LjIQmt1t6NjpM0tpttzjo,./downloaded_mp3/YOASOBI_勇者.mp3,2023,49,99,61.94,31.61,64,3964,-0.45,-1.32,74,64
優里,ビリミリオン,https://open.spotify.com/track/7KExqPOvjFzAI4d49mQxt9,./downloaded_mp3/優里_ビリミリオン.mp3,2023,42,95,56.19,23.17,105,5900,-0.4,-0.85,68,59
キタニタツヤ,青のすみか,https://open.spotify.com/track/12usPU2WnqgCHAW1EK2dfd,./downloaded_mp3/キタニタツヤ_青のすみか.mp3,2023,41,99,66.44,27.88,68,4518,-0.54,-1.09,65,71
スピッツ,美しい鰭,https://open.spotify.com/track/3RauRsiIxUOQTS8h9sVWcP,./downloaded_mp3/スピッツ_美しい鰭.mp3,2023,35,99,59.62,26.63,81,4829,-0.17,-1.02,66,59
SEKAI NO OWARI,最高到達点,https://open.spotify.com/track/2hXPmiqKdXcbV0L1VKnTDN,./downloaded_mp3/SEKAI NO OWARI_最高到達点.mp3,2023,34,88,51.7,25.84,60,3102,-0.11,-1.53,66,63
NewJeans,OMG,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,./downloaded_mp3/NewJeans_OMG.mp3,2023,29,94,48.08,26.54,59,2837,0.12,-1.13,79,79
Jung Kook,Seven (feat. Latto),https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,./downloaded_mp3/Jung Kook_Seven (feat. Latto).mp3,2023,28,99,56.59,30.91,66,3735,-0.11,-1.52,81,78
NewJeans,ETA,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,./downloaded_mp3/NewJeans_ETA.mp3,2023,16,93,50.58,29.06,26,1315,0.03,-1.55,79,78
