アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
King & Prince,HEART,100,https://open.spotify.com/track/1xVHi6ppc8sZS33qCm2IyJ,64,61
Mrs.GREEN APPLE,ライラック,99,https://open.spotify.com/track/78W4mTLIh4qoLu92W4IQhO,80,72
SKE48,Tick tack zack,98,https://open.spotify.com/track/3YreelreNxPprx5rbwviJA,33,17
サカナクション,怪獣,97,https://open.spotify.com/track/6FhWelfRDMFZRtFUU6SIdC,66,73
Mrs.GREEN APPLE,ダーリン,96,https://open.spotify.com/track/62x4EMPyCFF2Ohv7qDjalp,80,68
米津玄師,BOW AND ARROW,95,https://open.spotify.com/track/0NHu2Lo9MWkvhOggEy1bYg,80,68
ロゼ & ブルーノ・マーズ,APT.,94,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,79,88
Mrs.GREEN APPLE,ケセラセラ,93,https://open.spotify.com/track/406ZlqOP9nLQxJFBY7d9S4,80,63
Mrs.GREEN APPLE,Soranji,92,https://open.spotify.com/track/6O4twzzHHIM6mmTqPpJNYE,80,63
藤井風,真っ白,89,https://open.spotify.com/track/3GiADMmI5jfkhF2o4a2G8N,75,61
timelesz,Rock this Party,88,https://open.spotify.com/track/3ca5Q1gTQI3Alaiutw2DDo,53,59
Mrs.GREEN APPLE,ビターバカンス,87,https://open.spotify.com/track/6DYV1GqwCTrvfPcjeFwjLt,80,65
Mrs.GREEN APPLE,僕のこと,85,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4,80,72
Vaundy,怪獣の花唄,84,https://open.spotify.com/track/7dTW21YAJxnAOiUh7Rtu9S,73,74
Mrs.GREEN APPLE,青と夏,83,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,80,63
Omoinotake,幾億光年,81,https://open.spotify.com/track/4dmruTsdHIOjfOIeaFitXK,58,66
米津玄師,Plazma,80,https://open.spotify.com/track/1KLg01cjnRsENoFhJWUTSd,80,70
TREASURE,YELLOW,79,https://open.spotify.com/track/0q9puRfi0yhlZA6R5ELd6m,66,55
Mrs.GREEN APPLE,ダンスホール,78,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,80,65
XG,IS THIS LOVE,77,https://open.spotify.com/track/0dzbNEBsrs17os3jJOFLar,70,71
あいみょん,スケッチ,76,https://open.spotify.com/track/1qyMHya2R2k57MApk6kBzI,70,55
Creepy Nuts,Bling-Bang-Bang-Born,75,https://open.spotify.com/track/0kdqcbwei4MDWFEX5f33yG,70,75
YOASOBI,UNDEAD,71,https://open.spotify.com/track/5NxmDq0yXBYGfCbMqvIXuv,74,68
